EMP,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,TIME
40.5,1,0,0,0,0,0,1,0,0,0
13.75,2,0,0,0,0,0,1,0,0,0
8.5,2,1,0,0,0,0,1,0,0,0
34,4,1,0,0,0,0,1,0,0,0
24,4,1,0,0,0,0,1,0,0,0
70.5,1,0,0,0,0,0,0,1,0,0
23.5,1,0,0,0,0,0,0,1,0,0
11,2,1,0,0,0,0,0,1,0,0
9,2,1,0,0,0,0,1,0,0,0
15.5,3,1,0,0,0,0,0,1,0,0
58,1,0,0,0,0,0,0,1,0,0
26.5,1,0,0,0,0,0,0,1,0,0
28.5,1,0,0,0,0,0,0,1,0,0
13.5,1,0,0,0,0,0,0,1,0,0
16.75,2,1,0,0,0,0,0,1,0,0
9.5,2,1,0,0,0,0,0,1,0,0
15,3,1,0,0,0,0,0,1,0,0
29.5,3,0,0,0,0,0,0,1,0,0
18.5,3,0,0,0,0,0,0,1,0,0
20.25,3,1,0,0,0,0,0,1,0,0
36,3,1,0,0,0,0,1,0,0,0
21,3,0,0,0,0,0,0,1,0,0
20.5,3,1,0,0,0,0,0,1,0,0
19,4,1,0,0,0,0,0,1,0,0
14,3,1,0,0,0,0,0,1,0,0
19,3,1,0,0,0,0,0,1,0,0
32.5,1,0,0,0,0,0,1,0,0,0
19,1,0,0,0,0,0,1,0,0,0
27,1,0,0,0,0,0,1,0,0,0
19.5,1,0,0,0,0,0,1,0,0,0
24,1,0,0,0,0,0,1,0,0,0
18,1,0,0,0,0,0,1,0,0,0
19,1,0,0,0,0,0,1,0,0,0
14,2,0,0,0,0,0,1,0,0,0
10.5,2,0,0,0,0,0,1,0,0,0
38,4,1,0,0,0,0,1,0,0,0
23.5,4,1,0,0,0,0,1,0,0,0
10.5,4,0,0,0,0,0,1,0,0,0
25,4,0,0,0,0,0,1,0,0,0
11,2,1,0,0,0,0,0,1,0,0
36.5,1,0,0,0,0,0,1,0,0,0
52.5,1,0,0,0,0,0,1,0,0,0
29,1,0,0,0,0,0,1,0,0,0
45,1,0,0,0,0,0,1,0,0,0
22.75,1,0,0,0,0,0,1,0,0,0
7.5,2,0,0,0,0,0,1,0,0,0
15.5,4,0,0,0,0,0,1,0,0,0
38,4,0,0,0,0,0,1,0,0,0
17.5,4,0,0,0,0,0,1,0,0,0
25,4,0,0,0,0,0,1,0,0,0
21,1,0,0,0,0,0,0,1,0,0
15.5,1,0,0,0,0,0,0,1,0,0
15.5,1,0,0,0,0,0,0,1,0,0
8.5,2,1,0,0,0,0,0,1,0,0
18,3,1,0,0,0,0,0,1,0,0
20.75,4,0,0,0,0,0,0,1,0,0
39,1,0,0,0,0,0,0,1,0,0
41.5,1,0,0,0,0,0,0,1,0,0
22.5,1,0,0,0,0,0,0,1,0,0
32,1,0,0,0,0,0,0,1,0,0
24,1,0,0,0,0,0,1,0,0,0
26,1,0,0,0,0,0,0,1,0,0
48.5,1,0,0,0,0,0,1,0,0,0
8.5,2,1,0,0,0,0,0,1,0,0
18.5,3,0,0,0,0,0,0,1,0,0
13,3,1,0,0,0,0,0,1,0,0
28,4,1,0,0,0,0,0,1,0,0
24.5,1,0,0,0,0,0,0,1,0,0
18.5,1,0,0,0,0,0,0,1,0,0
23.5,3,1,0,0,0,0,0,1,0,0
15,3,1,0,0,0,0,0,1,0,0
18,3,0,0,0,0,0,0,1,0,0
20.25,3,1,0,0,0,0,0,1,0,0
15.5,1,0,0,0,0,0,1,0,0,0
21,1,0,0,0,0,0,1,0,0,0
15,1,0,1,0,1,0,0,0,0,0
15,1,0,1,0,1,0,0,0,0,0
24,3,0,1,0,1,0,0,0,0,0
19.25,3,1,1,0,0,1,0,0,0,0
21.5,1,0,1,0,0,1,0,0,0,0
9.5,2,0,1,0,0,1,0,0,0,0
44,4,0,1,0,0,1,0,0,0,0
21,1,0,1,0,0,1,0,0,0,0
28,4,0,1,1,0,0,0,0,1,0
10,4,0,1,1,0,0,0,0,0,0
20.5,1,0,1,0,0,1,0,0,0,0
25.5,3,1,1,0,0,1,0,0,0,0
19,4,0,1,0,0,1,0,0,0,0
16.5,1,0,1,1,0,0,0,0,0,0
17,1,1,1,1,0,0,0,0,0,0
27.5,1,1,1,0,0,1,0,0,0,0
5,3,1,1,0,1,0,0,0,0,0
16,2,0,1,0,1,0,0,0,0,0
41.5,1,0,1,0,0,1,0,0,0,0
13,2,1,1,0,1,0,0,0,0,0
10,2,0,1,0,0,1,0,0,0,0
15,2,0,1,0,1,0,0,0,0,0
26,3,0,1,0,0,1,0,0,0,0
18,4,0,1,0,1,0,0,0,0,0
35,3,0,1,0,0,1,0,0,0,0
21,3,1,1,0,0,1,0,0,0,0
34.5,4,0,1,0,0,1,0,0,0,0
18.25,4,0,1,0,0,1,0,0,0,0
20,1,0,1,0,1,0,0,0,1,0
16,1,1,1,0,1,0,0,0,0,0
17.5,2,0,1,0,1,0,0,0,0,0
20,4,0,1,0,0,1,0,0,0,0
12.25,2,1,1,0,1,0,0,0,0,0
33,3,0,1,0,1,0,0,0,0,0
31.5,3,0,1,0,1,0,0,0,0,0
28,4,0,1,0,1,0,0,0,0,0
16.5,1,0,1,0,0,1,0,0,0,0
14.75,1,0,1,0,0,1,0,0,0,0
23.5,1,0,1,0,0,1,0,0,0,0
10,1,0,1,0,0,1,0,0,0,0
46.5,1,0,1,0,0,1,0,0,0,0
15.5,2,0,1,0,0,1,0,0,0,0
24.5,3,1,1,0,0,1,0,0,0,0
24,3,1,1,0,0,1,0,0,0,0
23,3,1,1,0,0,1,0,0,0,0
28,4,0,1,0,0,1,0,0,0,0
32.5,1,1,1,0,0,1,0,0,0,0
23,1,1,1,0,0,1,0,0,0,0
17,3,0,1,0,0,1,0,0,1,0
30,3,1,1,0,0,1,0,0,0,0
21.5,4,1,1,0,0,1,0,0,0,0
32,1,0,1,0,0,1,0,0,0,0
8,1,0,1,0,0,1,0,0,0,0
35.5,3,1,1,0,0,1,0,0,0,0
33,3,1,1,0,0,1,0,0,0,0
22,3,0,1,0,0,1,0,0,0,0
23,1,0,1,1,0,0,0,0,0,0
23,1,1,1,1,0,0,0,0,0,0
8.5,2,1,1,1,0,0,0,0,0,0
12.5,2,1,1,1,0,0,0,0,0,0
9.5,2,1,1,1,0,0,0,0,0,0
13,2,1,1,1,0,0,0,0,0,0
17,1,1,1,0,0,1,0,0,0,0
9,2,1,1,0,0,1,0,0,0,0
19,2,1,1,0,0,1,0,0,0,0
11.5,2,0,1,1,0,0,0,0,1,0
13,2,0,1,1,0,0,0,0,1,0
48,3,0,1,1,0,0,0,0,0,0
45.5,3,1,1,1,0,0,0,0,1,0
15,4,0,1,1,0,0,0,0,1,0
18,1,0,1,1,0,0,0,0,0,0
21,3,1,1,1,0,0,0,0,0,0
20.5,4,0,1,1,0,0,0,0,0,0
20.5,4,0,1,1,0,0,0,0,0,0
17.5,4,0,1,0,0,1,0,0,0,0
27.5,1,0,1,0,0,1,0,0,0,0
24,1,1,1,0,0,1,0,0,0,0
34,1,0,1,0,0,1,0,0,0,0
18,1,1,1,0,0,1,0,0,0,0
24,1,0,1,0,0,1,0,0,0,0
33.5,4,1,1,0,0,1,0,0,0,0
12,4,1,1,0,0,1,0,0,0,0
35,1,0,1,0,0,1,0,0,0,0
35,1,0,1,0,1,0,0,0,0,0
16,1,0,1,0,1,0,0,0,0,0
15.5,2,0,1,0,1,0,0,0,0,0
19,3,0,1,0,1,0,0,0,0,0
24,3,0,1,0,1,0,0,0,0,0
36,1,0,1,0,1,0,0,0,0,0
29,1,0,1,0,1,0,0,0,0,0
29,1,0,1,0,1,0,0,0,0,0
21.25,1,0,1,0,1,0,0,0,0,0
15.5,2,0,1,0,1,0,0,0,0,0
19.5,3,0,1,0,1,0,0,0,0,0
21,3,0,1,0,1,0,0,0,0,0
14,3,0,1,0,1,0,0,0,0,0
30.5,3,0,1,0,1,0,0,0,0,0
23.5,1,0,1,1,0,0,0,0,0,0
14,2,0,1,1,0,0,0,0,0,0
14.5,3,0,1,1,0,0,0,0,0,0
15.5,1,0,1,0,0,1,0,0,0,0
26.5,1,0,1,0,1,0,0,0,0,0
8,2,0,1,0,0,1,0,0,0,0
5.5,2,0,1,0,0,1,0,0,0,0
23.25,3,0,1,0,0,1,0,0,0,0
15.5,3,1,1,0,0,1,0,0,0,0
32.25,4,0,1,0,0,1,0,0,0,0
30,1,0,1,0,1,0,0,0,0,0
30.5,1,0,1,0,0,1,0,0,0,0
27,1,0,1,0,0,1,0,0,0,0
18.5,1,0,1,0,0,1,0,0,0,0
38,1,0,1,0,0,1,0,0,0,0
16.5,1,0,1,0,0,1,0,0,0,0
50,1,0,1,0,0,1,0,0,0,0
20.5,1,0,1,0,0,1,0,0,0,0
6.5,2,0,1,0,0,1,0,0,0,0
13.5,2,0,1,0,0,1,0,0,0,0
28,3,1,1,0,0,1,0,0,0,0
21.5,3,1,1,0,0,1,0,0,0,0
24,1,0,1,0,1,0,0,0,0,0
20.5,1,0,1,0,1,0,0,0,0,0
23.5,1,0,1,1,0,0,0,0,0,0
23,1,1,1,0,1,0,0,0,1,0
17,1,1,1,0,1,0,0,0,1,0
20.5,1,1,1,0,0,1,0,0,0,0
23.5,2,0,1,0,1,0,0,0,0,0
9.5,2,0,1,0,0,1,0,0,0,0
10,2,0,1,0,1,0,0,0,0,0
14,2,0,1,0,1,0,0,0,1,0
85,3,1,1,0,1,0,0,0,1,0
15,3,0,1,0,1,0,0,0,1,0
21.5,3,0,1,1,0,0,0,0,0,0
53,4,0,1,0,1,0,0,0,1,0
24,1,0,1,0,0,1,0,0,0,0
20.5,1,0,1,0,0,1,0,0,0,0
14.5,1,1,1,0,0,1,0,0,0,0
25,1,0,1,0,0,1,0,0,0,0
27,3,0,1,0,0,1,0,0,0,0
22.5,1,0,1,0,1,0,0,0,0,0
36.5,1,0,1,0,1,0,0,0,0,0
17.25,1,0,1,0,1,0,0,0,0,0
21.5,1,0,1,0,0,1,0,0,0,0
24.5,1,0,1,0,0,1,0,0,0,0
19,1,1,1,0,1,0,0,0,0,0
25,1,0,1,0,0,1,0,0,0,0
16,1,0,1,0,1,0,0,0,0,0
19,2,0,1,0,1,0,0,0,0,0
22.75,3,1,1,0,1,0,0,0,0,0
35,3,1,1,0,1,0,0,0,0,0
16,3,1,1,0,1,0,0,0,0,0
21,3,0,1,0,1,0,0,0,0,0
30.5,3,1,1,0,0,1,0,0,0,0
23,4,0,1,0,1,0,0,0,0,0
21.5,4,0,1,0,1,0,0,0,0,0
36.5,4,0,1,0,0,1,0,0,0,0
23,1,0,1,0,0,1,0,0,0,0
14,1,0,1,0,0,1,0,0,0,0
17.25,1,0,1,0,0,1,0,0,0,0
18.5,1,0,1,0,0,1,0,0,0,0
8.5,2,0,1,0,0,1,0,0,0,0
14,2,0,1,0,0,1,0,0,0,0
23,3,1,1,0,0,1,0,0,0,0
29,4,0,1,0,0,1,0,0,0,0
19,1,0,1,0,0,1,0,0,0,0
21,1,1,1,0,0,1,0,0,1,0
17,1,0,1,0,0,1,0,0,0,0
36,1,0,1,0,0,1,0,0,0,0
25,1,0,1,0,0,1,0,0,1,0
29.5,1,0,1,0,0,1,0,0,0,0
22,2,1,1,0,0,1,0,0,1,0
11,2,0,1,0,0,1,0,0,0,0
13.5,2,0,1,0,0,1,0,0,1,0
13.5,2,0,1,1,0,0,0,0,1,0
18,2,0,1,0,0,1,0,0,0,0
9.5,2,0,1,0,1,0,0,0,1,0
24,3,0,1,0,0,1,0,0,0,0
14.5,3,0,1,0,0,1,0,0,0,0
29,4,0,1,0,0,1,0,0,0,0
10.5,4,0,1,0,0,1,0,0,1,0
18,4,0,1,0,0,1,0,0,1,0
9,2,0,1,0,0,1,0,0,0,0
33,1,0,1,0,0,1,0,0,0,0
19.5,1,0,1,0,0,1,0,0,0,0
41,1,0,1,0,0,1,0,0,0,0
17,1,0,1,0,0,1,0,0,0,0
18.25,1,0,1,0,0,1,0,0,0,0
17,2,1,1,0,0,1,0,0,0,0
32,3,1,1,0,0,1,0,0,0,0
26,3,1,1,0,0,1,0,0,0,0
11.5,4,1,1,0,0,1,0,0,0,0
21,1,0,1,1,0,0,0,0,0,0
22.75,1,0,1,1,0,0,0,0,0,0
18.5,1,1,1,1,0,0,0,0,0,0
20,1,0,1,1,0,0,0,0,0,0
18,1,0,1,1,0,0,0,0,0,0
10.5,2,0,1,1,0,0,0,0,0,0
10.5,2,1,1,1,0,0,0,0,0,0
11,2,1,1,1,0,0,0,0,0,0
10.5,2,1,1,1,0,0,0,0,0,0
12.5,2,0,1,1,0,0,0,0,0,0
18,2,0,1,1,0,0,0,0,0,0
17,3,1,1,1,0,0,0,0,0,0
15,3,1,1,1,0,0,0,0,0,0
19.5,3,1,1,1,0,0,0,0,0,0
13,4,0,1,1,0,0,0,0,0,0
20.25,4,0,1,1,0,0,0,0,0,0
26,1,0,1,0,0,1,0,0,0,0
15.5,1,0,1,0,0,1,0,0,0,0
24,1,0,1,0,0,1,0,0,0,0
25.5,1,0,1,0,0,1,0,0,0,0
21.5,1,0,1,0,0,1,0,0,0,0
14,2,1,1,0,0,1,0,0,0,0
20,2,0,1,0,0,1,0,0,0,0
22.5,3,1,1,0,0,1,0,0,0,0
30,3,1,1,0,0,1,0,0,0,0
24,4,0,1,0,0,1,0,0,0,0
22,4,0,1,0,0,1,0,0,0,0
13,1,0,1,1,0,0,0,0,1,0
5,2,1,1,1,0,0,0,0,1,0
13.5,3,1,1,1,0,0,0,0,0,0
18,1,0,1,1,0,0,0,0,0,0
24,1,1,1,1,0,0,0,0,0,0
16.5,1,0,1,1,0,0,0,0,0,0
7,1,0,1,1,0,0,0,0,0,0
11,1,0,1,1,0,0,0,0,0,0
19.5,1,0,1,1,0,0,0,0,0,0
10,2,1,1,1,0,0,0,0,0,0
13,2,1,1,1,0,0,0,0,0,0
10,2,1,1,1,0,0,0,0,0,0
12.5,2,1,1,1,0,0,0,0,0,0
8,2,1,1,1,0,0,0,0,0,0
12,3,1,1,1,0,0,0,0,0,0
20.5,3,1,1,1,0,0,0,0,0,0
18.5,3,1,1,1,0,0,0,0,0,0
11.5,3,1,1,1,0,0,0,0,0,0
15,3,1,1,1,0,0,0,0,0,0
13,3,1,1,1,0,0,0,0,0,0
10,3,1,1,1,0,0,0,0,0,0
17,4,0,1,1,0,0,0,0,0,0
17,4,0,1,1,0,0,0,0,0,0
20.5,4,0,1,1,0,0,0,0,1,0
19.5,1,1,1,0,0,1,0,0,0,0
30.5,3,1,1,0,0,1,0,0,0,0
23,3,0,1,0,0,1,0,0,0,0
13,3,1,1,0,0,1,0,0,0,0
30.25,3,1,1,0,0,1,0,0,0,0
18,4,0,1,0,0,1,0,0,0,0
10,1,0,1,1,0,0,0,0,1,0
17,1,0,1,1,0,0,0,0,1,0
25.5,1,1,1,1,0,0,0,0,1,0
6,1,0,1,1,0,0,0,0,1,0
11.5,2,0,1,1,0,0,0,0,1,0
8.5,2,0,1,1,0,0,0,0,1,0
18.5,3,1,1,1,0,0,0,0,1,0
15.5,3,1,1,1,0,0,0,0,1,0
14.25,1,0,1,0,1,0,0,0,0,0
38,1,0,1,1,0,0,0,0,0,0
24.75,1,1,1,1,0,0,0,0,0,0
23,1,1,1,1,0,0,0,0,0,0
24,1,0,1,1,0,0,0,0,0,0
7.5,2,1,1,1,0,0,0,0,0,0
15,2,1,1,1,0,0,0,0,0,0
9.25,2,1,1,1,0,0,0,0,0,0
11.25,3,1,1,0,1,0,0,0,0,0
16.5,3,1,1,1,0,0,0,0,0,0
18.75,3,1,1,1,0,0,0,0,0,0
13.5,4,0,1,0,1,0,0,0,0,0
15,1,1,1,1,0,0,0,0,0,0
17.5,1,0,1,1,0,0,0,0,0,0
17.5,1,0,1,1,0,0,0,0,0,0
15.5,2,0,1,1,0,0,0,0,0,0
16.5,2,0,1,1,0,0,0,0,0,0
13.5,3,0,1,1,0,0,0,0,0,0
13,4,0,1,1,0,0,0,0,0,0
11.5,1,1,1,0,0,1,0,0,0,0
29.05,1,0,1,0,0,1,0,0,0,0
13,1,0,1,0,0,1,0,0,0,0
18,1,0,1,0,0,1,0,0,0,0
30,1,0,1,0,0,1,0,0,0,0
20.5,1,0,1,0,0,1,0,0,0,0
10,1,0,1,0,0,1,0,0,0,0
26,1,0,1,0,0,1,0,0,0,0
12.5,1,0,1,0,0,1,0,0,0,0
19.5,2,0,1,0,0,1,0,0,0,0
12,2,1,1,0,0,1,0,0,0,0
36,3,1,1,0,0,1,0,0,0,0
21,3,1,1,0,0,1,0,0,0,0
24.5,3,1,1,0,0,1,0,0,0,0
20,3,1,1,0,0,1,0,0,0,0
26.5,3,1,1,0,0,1,0,0,0,0
15,3,0,1,0,0,1,0,0,0,0
19,3,1,1,0,0,1,0,0,0,0
17.5,3,1,1,0,0,1,0,0,0,0
20.5,1,0,1,0,0,1,0,0,0,0
21,1,0,1,0,0,1,0,0,0,0
10.5,2,0,1,0,1,0,0,0,0,0
23,1,0,1,0,0,1,0,0,0,0
23,1,0,1,0,0,1,0,0,0,0
29,1,0,1,0,0,1,0,0,0,0
21,1,1,1,0,0,1,0,0,0,0
41.5,1,0,1,0,0,1,0,0,0,0
12,2,1,1,0,0,1,0,0,0,0
33,2,1,1,0,0,1,0,0,0,0
6.5,2,0,1,0,0,1,0,0,0,0
9,2,1,1,0,0,1,0,0,0,0
9.75,2,1,1,0,0,1,0,0,0,0
24.5,3,1,1,0,0,1,0,0,0,0
