EMP,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,TIME
14,4,0,1,0,0,1,0,0,0,0
19.5,4,0,1,0,0,1,0,0,0,0
24,1,0,0,0,0,0,1,0,0,1
11.5,2,0,0,0,0,0,1,0,0,1
10.5,2,1,0,0,0,0,1,0,0,1
20,4,1,0,0,0,0,1,0,0,1
35.5,4,1,0,0,0,0,1,0,0,1
29,1,0,0,0,0,0,0,1,0,1
36.5,1,0,0,0,0,0,0,1,0,1
11,2,1,0,0,0,0,0,1,0,1
8.5,2,1,0,0,0,0,1,0,0,1
17.5,3,1,0,0,0,0,0,1,0,1
29,1,0,0,0,0,0,0,1,0,1
30.5,1,0,0,0,0,0,0,1,0,1
26,1,0,0,0,0,0,0,1,0,1
18,1,0,0,0,0,0,0,1,0,1
20,2,1,0,0,0,0,0,1,0,1
13.5,2,1,0,0,0,0,0,1,0,1
19,3,1,0,0,0,0,0,1,0,1
15.5,3,0,0,0,0,0,0,1,0,1
14.5,3,0,0,0,0,0,0,1,0,1
14,3,1,0,0,0,0,0,1,0,1
19,3,1,0,0,0,0,1,0,0,1
21,3,0,0,0,0,0,0,1,0,1
18,3,1,0,0,0,0,0,1,0,1
20.5,4,1,0,0,0,0,0,1,0,1
13.5,3,1,0,0,0,0,0,1,0,1
17.5,3,1,0,0,0,0,0,1,0,1
25.5,1,0,0,0,0,0,1,0,0,1
15.5,1,0,0,0,0,0,1,0,0,1
25.5,1,0,0,0,0,0,1,0,0,1
27,1,0,0,0,0,0,1,0,0,1
16,1,0,0,0,0,0,1,0,0,1
19,1,0,0,0,0,0,1,0,0,1
25,1,0,0,0,0,0,1,0,0,1
17,2,0,0,0,0,0,1,0,0,1
16.5,2,0,0,0,0,0,1,0,0,1
20,4,1,0,0,0,0,1,0,0,1
18,4,1,0,0,0,0,1,0,0,1
12,4,0,0,0,0,0,1,0,0,1
25,4,0,0,0,0,0,1,0,0,1
11,2,1,0,0,0,0,0,1,0,1
27,1,0,0,0,0,0,1,0,0,1
34,1,0,0,0,0,0,1,0,0,1
25,1,0,0,0,0,0,1,0,0,1
37.5,1,0,0,0,0,0,1,0,0,1
21,1,0,0,0,0,0,1,0,0,1
9.5,2,0,0,0,0,0,1,0,0,1
18,4,0,0,0,0,0,1,0,0,1
18,4,0,0,0,0,0,1,0,0,1
19,4,0,0,0,0,0,1,0,0,1
31.5,4,0,0,0,0,0,1,0,0,1
24.5,1,0,0,0,0,0,0,1,0,1
27.5,1,0,0,0,0,0,0,1,0,1
34.5,1,0,0,0,0,0,0,1,0,1
14,2,1,0,0,0,0,0,1,0,1
15,3,1,0,0,0,0,0,1,0,1
23,4,0,0,0,0,0,0,1,0,1
26.5,1,0,0,0,0,0,0,1,0,1
23.5,1,0,0,0,0,0,0,1,0,1
35.5,1,0,0,0,0,0,0,1,0,1
21,1,0,0,0,0,0,0,1,0,1
23,1,0,0,0,0,0,1,0,0,1
20,1,0,0,0,0,0,0,1,0,1
27,1,0,0,0,0,0,1,0,0,1
13,2,1,0,0,0,0,0,1,0,1
0,3,0,0,0,0,0,0,1,0,1
13.5,3,1,0,0,0,0,0,1,0,1
26.75,4,1,0,0,0,0,0,1,0,1
43.5,1,0,0,0,0,0,0,1,0,1
41.25,1,0,0,0,0,0,0,1,0,1
14.25,3,1,0,0,0,0,0,1,0,1
12.5,3,1,0,0,0,0,0,1,0,1
34,3,0,0,0,0,0,0,1,0,1
10,3,1,0,0,0,0,0,1,0,1
14,1,0,0,0,0,0,1,0,0,1
17.5,1,0,0,0,0,0,1,0,0,1
27,1,0,1,0,1,0,0,0,0,1
21.5,1,0,1,0,1,0,0,0,0,1
23,3,0,1,0,1,0,0,0,0,1
21.5,3,1,1,0,0,1,0,0,0,1
34.5,1,0,1,0,0,1,0,0,0,1
10.5,2,0,1,0,0,1,0,0,0,1
16.5,4,0,1,0,0,1,0,0,0,1
38,1,0,1,0,0,1,0,0,0,1
36,4,0,1,1,0,0,0,0,1,1
16,4,0,1,1,0,0,0,0,0,1
20.5,1,0,1,0,0,1,0,0,0,1
19,3,1,1,0,0,1,0,0,0,1
53,4,0,1,0,0,1,0,0,0,1
16.5,1,0,1,1,0,0,0,0,0,1
16.5,1,1,1,1,0,0,0,0,0,1
45,1,1,1,0,0,1,0,0,0,1
8,3,1,1,0,1,0,0,0,0,1
15.5,2,0,1,0,1,0,0,0,0,1
24,1,0,1,0,0,1,0,0,0,1
7.5,2,1,1,0,1,0,0,0,0,1
7.5,2,0,1,0,0,1,0,0,0,1
18.5,2,0,1,0,1,0,0,0,0,1
16.5,3,0,1,0,0,1,0,0,0,1
33.5,4,0,1,0,1,0,0,0,0,1
37,3,0,1,0,0,1,0,0,0,1
18,3,1,1,0,0,1,0,0,0,1
26.5,4,0,1,0,0,1,0,0,0,1
33,4,0,1,0,0,1,0,0,0,1
20.5,1,0,1,0,1,0,0,0,1,1
24.5,1,1,1,0,1,0,0,0,0,1
16,2,0,1,0,1,0,0,0,0,1
23.5,4,0,1,0,0,1,0,0,0,1
13,2,1,1,0,1,0,0,0,0,1
20,3,0,1,0,1,0,0,0,0,1
22,3,0,1,0,1,0,0,0,0,1
25.5,4,0,1,0,1,0,0,0,0,1
18,1,0,1,0,0,1,0,0,0,1
9,1,0,1,0,0,1,0,0,0,1
26.5,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,1,0,0,0,1
23.75,1,0,1,0,0,1,0,0,0,1
18,2,0,1,0,0,1,0,0,0,1
36,3,1,1,0,0,1,0,0,0,1
21,3,1,1,0,0,1,0,0,0,1
15.5,3,1,1,0,0,1,0,0,0,1
22.5,4,0,1,0,0,1,0,0,0,1
27,1,1,1,0,0,1,0,0,0,1
34,1,1,1,0,0,1,0,0,0,1
16.75,3,0,1,0,0,1,0,0,1,1
26,3,1,1,0,0,1,0,0,0,1
18,4,1,1,0,0,1,0,0,0,1
20.5,1,0,1,0,0,1,0,0,0,1
15,1,0,1,0,0,1,0,0,0,1
25.5,3,1,1,0,0,1,0,0,0,1
20,3,1,1,0,0,1,0,0,0,1
18,3,0,1,0,0,1,0,0,0,1
26.5,1,0,1,1,0,0,0,0,0,1
23.25,1,1,1,1,0,0,0,0,0,1
10.5,2,1,1,1,0,0,0,0,0,1
12,2,1,1,1,0,0,0,0,0,1
9.5,2,1,1,1,0,0,0,0,0,1
15.5,2,1,1,1,0,0,0,0,0,1
14.5,1,1,1,0,0,1,0,0,0,1
14,2,1,1,0,0,1,0,0,0,1
6.5,2,1,1,0,0,1,0,0,0,1
10,2,0,1,1,0,0,0,0,1,1
11.5,2,0,1,1,0,0,0,0,1,1
46.5,3,0,1,1,0,0,0,0,0,1
26.5,3,1,1,1,0,0,0,0,1,1
16,4,0,1,1,0,0,0,0,1,1
13,1,0,1,1,0,0,0,0,0,1
14,3,1,1,1,0,0,0,0,0,1
15.5,4,0,1,1,0,0,0,0,0,1
18,4,0,1,1,0,0,0,0,0,1
27,4,0,1,0,0,1,0,0,0,1
27,1,0,1,0,0,1,0,0,0,1
29.5,1,1,1,0,0,1,0,0,0,1
16.5,1,0,1,0,0,1,0,0,0,1
31.5,1,1,1,0,0,1,0,0,0,1
27.5,1,0,1,0,0,1,0,0,0,1
32,4,1,1,0,0,1,0,0,0,1
14.5,4,1,1,0,0,1,0,0,0,1
10.5,1,0,1,0,0,1,0,0,0,1
44,1,0,1,0,1,0,0,0,0,1
15.5,1,0,1,0,1,0,0,0,0,1
10.5,2,0,1,0,1,0,0,0,0,1
24,3,0,1,0,1,0,0,0,0,1
29,3,0,1,0,1,0,0,0,0,1
20,1,0,1,0,1,0,0,0,0,1
26.5,1,0,1,0,1,0,0,0,0,1
27,1,0,1,0,1,0,0,0,0,1
26.5,1,0,1,0,1,0,0,0,0,1
10.5,2,0,1,0,1,0,0,0,0,1
18,3,0,1,0,1,0,0,0,0,1
18.5,3,0,1,0,1,0,0,0,0,1
25.5,3,0,1,0,1,0,0,0,0,1
32,3,0,1,0,1,0,0,0,0,1
33,1,0,1,1,0,0,0,0,0,1
7.5,2,0,1,1,0,0,0,0,0,1
12.5,3,0,1,1,0,0,0,0,0,1
24,1,0,1,0,0,1,0,0,0,1
29,1,0,1,0,1,0,0,0,0,1
10,2,0,1,0,0,1,0,0,0,1
9.5,2,0,1,0,0,1,0,0,0,1
17.5,3,0,1,0,0,1,0,0,0,1
17.5,3,1,1,0,0,1,0,0,0,1
25,4,0,1,0,0,1,0,0,0,1
26,1,0,1,0,1,0,0,0,0,1
22.5,1,0,1,0,0,1,0,0,0,1
35,1,0,1,0,0,1,0,0,0,1
17.75,1,0,1,0,0,1,0,0,0,1
24.5,1,0,1,0,0,1,0,0,0,1
16.5,1,0,1,0,0,1,0,0,0,1
30,1,0,1,0,0,1,0,0,0,1
39,1,0,1,0,0,1,0,0,0,1
17,2,0,1,0,0,1,0,0,0,1
12.5,2,0,1,0,0,1,0,0,0,1
38.5,3,1,1,0,0,1,0,0,0,1
20,3,1,1,0,0,1,0,0,0,1
32,1,0,1,0,1,0,0,0,0,1
19,1,0,1,0,1,0,0,0,0,1
26.5,1,0,1,1,0,0,0,0,0,1
19,1,1,1,0,1,0,0,0,1,1
20,1,1,1,0,1,0,0,0,1,1
22.5,1,1,1,0,0,1,0,0,0,1
10,2,0,1,0,1,0,0,0,0,1
12.5,2,0,1,0,0,1,0,0,0,1
11,2,0,1,0,1,0,0,0,0,1
12.5,2,0,1,0,1,0,0,0,1,1
59,3,1,1,0,1,0,0,0,1,1
19,3,0,1,0,1,0,0,0,1,1
15.5,3,0,1,1,0,0,0,0,0,1
19,4,0,1,0,1,0,0,0,1,1
26.5,1,0,1,0,0,1,0,0,0,1
17.5,1,0,1,0,0,1,0,0,0,1
20.5,1,1,1,0,0,1,0,0,0,1
28,1,0,1,0,0,1,0,0,0,1
30.25,3,0,1,0,0,1,0,0,0,1
44,1,0,1,0,1,0,0,0,0,1
17.5,1,0,1,0,1,0,0,0,0,1
31,1,0,1,0,1,0,0,0,0,1
31,1,0,1,0,0,1,0,0,0,1
28.5,1,0,1,0,0,1,0,0,0,1
19,1,1,1,0,1,0,0,0,0,1
41,1,0,1,0,0,1,0,0,0,1
28,1,0,1,0,1,0,0,0,0,1
9.5,2,0,1,0,1,0,0,0,0,1
25,3,1,1,0,1,0,0,0,0,1
28,3,1,1,0,1,0,0,0,0,1
16,3,1,1,0,1,0,0,0,0,1
22.75,3,0,1,0,1,0,0,0,0,1
32,3,1,1,0,0,1,0,0,0,1
27.5,4,0,1,0,1,0,0,0,0,1
25.5,4,0,1,0,1,0,0,0,0,1
60.5,4,0,1,0,0,1,0,0,0,1
20.5,1,0,1,0,0,1,0,0,0,1
16,1,0,1,0,0,1,0,0,0,1
25,1,0,1,0,0,1,0,0,0,1
13,1,0,1,0,0,1,0,0,0,1
9,2,0,1,0,0,1,0,0,0,1
16.5,2,0,1,0,0,1,0,0,0,1
21,3,1,1,0,0,1,0,0,0,1
21.5,4,0,1,0,0,1,0,0,0,1
20,1,0,1,0,0,1,0,0,0,1
21.25,1,1,1,0,0,1,0,0,1,1
21.5,1,0,1,0,0,1,0,0,0,1
31,1,0,1,0,0,1,0,0,0,1
33,1,0,1,0,0,1,0,0,1,1
37.75,1,0,1,0,0,1,0,0,0,1
9,2,1,1,0,0,1,0,0,1,1
11,2,0,1,0,0,1,0,0,0,1
12.75,2,0,1,0,0,1,0,0,1,1
10.5,2,0,1,1,0,0,0,0,1,1
22,2,0,1,0,0,1,0,0,0,1
8,2,0,1,0,1,0,0,0,1,1
25,3,0,1,0,0,1,0,0,0,1
12.5,3,0,1,0,0,1,0,0,0,1
22.5,4,0,1,0,0,1,0,0,0,1
11.5,4,0,1,0,0,1,0,0,1,1
23.5,4,0,1,0,0,1,0,0,1,1
16.5,2,0,1,0,0,1,0,0,0,1
29,1,0,1,0,0,1,0,0,0,1
30,1,0,1,0,0,1,0,0,0,1
22.5,1,0,1,0,0,1,0,0,0,1
24,1,0,1,0,0,1,0,0,0,1
21.75,1,0,1,0,0,1,0,0,0,1
13.5,2,1,1,0,0,1,0,0,0,1
24,3,1,1,0,0,1,0,0,0,1
28.5,3,1,1,0,0,1,0,0,0,1
10,4,1,1,0,0,1,0,0,0,1
23.5,1,0,1,1,0,0,0,0,0,1
30.5,1,0,1,1,0,0,0,0,0,1
24.75,1,1,1,1,0,0,0,0,0,1
22.5,1,0,1,1,0,0,0,0,0,1
28,1,0,1,1,0,0,0,0,0,1
14,2,0,1,1,0,0,0,0,0,1
9,2,1,1,1,0,0,0,0,0,1
9.5,2,1,1,1,0,0,0,0,0,1
15.5,2,1,1,1,0,0,0,0,0,1
12,2,0,1,1,0,0,0,0,0,1
11.5,2,0,1,1,0,0,0,0,0,1
12.5,3,1,1,1,0,0,0,0,0,1
16,3,1,1,1,0,0,0,0,0,1
28.5,3,1,1,1,0,0,0,0,0,1
15,4,0,1,1,0,0,0,0,0,1
23.5,4,0,1,1,0,0,0,0,0,1
30.5,1,0,1,0,0,1,0,0,0,1
26.5,1,0,1,0,0,1,0,0,0,1
27,1,0,1,0,0,1,0,0,0,1
21.5,1,0,1,0,0,1,0,0,0,1
21.5,1,0,1,0,0,1,0,0,0,1
37.5,2,1,1,0,0,1,0,0,0,1
11.5,2,0,1,0,0,1,0,0,0,1
21,3,1,1,0,0,1,0,0,0,1
28,3,1,1,0,0,1,0,0,0,1
24,4,0,1,0,0,1,0,0,0,1
23,4,0,1,0,0,1,0,0,0,1
19,1,0,1,1,0,0,0,0,1,1
7,2,1,1,1,0,0,0,0,1,1
14,3,1,1,1,0,0,0,0,0,1
32,1,0,1,1,0,0,0,0,0,1
22,1,1,1,1,0,0,0,0,0,1
14.25,1,0,1,1,0,0,0,0,0,1
16.5,1,0,1,1,0,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,1
47.5,1,0,1,1,0,0,0,0,0,1
15.5,2,1,1,1,0,0,0,0,0,1
10.5,2,1,1,1,0,0,0,0,0,1
7,2,1,1,1,0,0,0,0,0,1
11,2,1,1,1,0,0,0,0,0,1
8.5,2,1,1,1,0,0,0,0,0,1
0,3,1,1,1,0,0,0,0,0,1
15,3,1,1,1,0,0,0,0,0,1
13.5,3,1,1,1,0,0,0,0,0,1
12.5,3,1,1,1,0,0,0,0,0,1
12.5,3,1,1,1,0,0,0,0,0,1
12.5,3,1,1,1,0,0,0,0,0,1
10,3,1,1,1,0,0,0,0,0,1
13.5,4,0,1,1,0,0,0,0,0,1
16,4,0,1,1,0,0,0,0,0,1
23.5,4,0,1,1,0,0,0,0,1,1
34,1,1,1,0,0,1,0,0,0,1
32.5,3,1,1,0,0,1,0,0,0,1
21.5,3,0,1,0,0,1,0,0,0,1
20,3,1,1,0,0,1,0,0,0,1
43.5,3,1,1,0,0,1,0,0,0,1
17.5,4,0,1,0,0,1,0,0,0,1
7,1,0,1,1,0,0,0,0,1,1
22,1,0,1,1,0,0,0,0,1,1
22,1,1,1,1,0,0,0,0,1,1
7,1,0,1,1,0,0,0,0,1,1
14,2,0,1,1,0,0,0,0,1,1
27,2,0,1,1,0,0,0,0,1,1
18.5,3,1,1,1,0,0,0,0,1,1
11.5,3,1,1,1,0,0,0,0,1,1
16,1,0,1,0,1,0,0,0,0,1
25,1,0,1,1,0,0,0,0,0,1
30.5,1,1,1,1,0,0,0,0,0,1
11.5,1,1,1,1,0,0,0,0,0,1
25.5,1,0,1,1,0,0,0,0,0,1
9.5,2,1,1,1,0,0,0,0,0,1
11.5,2,1,1,1,0,0,0,0,0,1
12,2,1,1,1,0,0,0,0,0,1
0,3,1,1,0,1,0,0,0,0,1
17,3,1,1,1,0,0,0,0,0,1
24,3,1,1,1,0,0,0,0,0,1
13.5,4,0,1,0,1,0,0,0,0,1
17,1,1,1,1,0,0,0,0,0,1
28,1,0,1,1,0,0,0,0,0,1
21.5,1,0,1,1,0,0,0,0,0,1
19.5,2,0,1,1,0,0,0,0,0,1
20,2,0,1,1,0,0,0,0,0,1
14.5,3,0,1,1,0,0,0,0,0,1
14.5,4,0,1,1,0,0,0,0,0,1
0,1,1,1,0,0,1,0,0,0,1
31.5,1,0,1,0,0,1,0,0,0,1
11.5,1,0,1,0,0,1,0,0,0,1
20,1,0,1,0,0,1,0,0,0,1
34,1,0,1,0,0,1,0,0,0,1
25,1,0,1,0,0,1,0,0,0,1
10,1,0,1,0,0,1,0,0,0,1
25,1,0,1,0,0,1,0,0,0,1
23,1,0,1,0,0,1,0,0,0,1
17.5,2,0,1,0,0,1,0,0,0,1
23,2,1,1,0,0,1,0,0,0,1
26,3,1,1,0,0,1,0,0,0,1
16.5,3,1,1,0,0,1,0,0,0,1
35.5,3,1,1,0,0,1,0,0,0,1
31,3,1,1,0,0,1,0,0,0,1
23,3,1,1,0,0,1,0,0,0,1
22.5,3,0,1,0,0,1,0,0,0,1
21.5,3,1,1,0,0,1,0,0,0,1
12,3,1,1,0,0,1,0,0,0,1
20.5,1,0,1,0,0,1,0,0,0,1
25,1,0,1,0,0,1,0,0,0,1
8.5,2,0,1,0,1,0,0,0,0,1
13,1,0,1,0,0,1,0,0,0,1
21.5,1,0,1,0,0,1,0,0,0,1
23,1,0,1,0,0,1,0,0,0,1
25.5,1,1,1,0,0,1,0,0,0,1
21.5,1,0,1,0,0,1,0,0,0,1
9.5,2,1,1,0,0,1,0,0,0,1
36.5,2,1,1,0,0,1,0,0,0,1
16,2,0,1,0,0,1,0,0,0,1
23.75,2,1,1,0,0,1,0,0,0,1
17.5,2,1,1,0,0,1,0,0,0,1
20.5,3,1,1,0,0,1,0,0,0,1
20.5,4,0,1,0,0,1,0,0,0,1
25,4,0,1,0,0,1,0,0,0,1
