prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
0.622222185,0.76666671,1875,2205,1,0,0,0,15,7.5,20,9,0.700285971,4080,-0.356266499,8.31385231,1,NA,NA,NA
0.972222209,1.174999952,2900,566,0,0,1,0,10,5,20,7.5,1.005335927,3466,0.005321742,8.150756836,2,-0.356266499,0.36158824,NA
1.233332992,1.475000024,770,1525,0,0,0,1,10,6,20,4,1.393917799,2295,0.332118332,7.738488197,3,0.005321742,0.326796591,0.36158824
1.928570986,1.625,927,943,0,0,0,0,15,6,20,5,1.775486827,1870,0.574074626,7.53369379,4,0.332118332,0.241956294,0.326796591
0.803125024,0.864285707,4220,2665,1,0,0,0,10,3.5,20,3.5,0.826798677,6885,-0.190194055,8.837100029,5,0.574074626,-0.764268696,0.241956294
0.881818175,0.914285719,4230,1375,0,1,0,0,15,4.5,15,3.5,0.889783025,5605,-0.116777636,8.631414413,6,-0.190194055,0.073416419,-0.764268696
0.768750012,0.829999983,3079,1880,0,0,1,0,10,4.5,20,3.5,0.791970432,4959,-0.233231217,8.50895977,7,-0.116777636,-0.116453581,0.073416419
0.829999983,1,945,1240,0,0,0,1,10,4,20,4.5,0.926475942,2185,-0.076367199,7.689371109,8,-0.233231217,0.156864017,-0.116453581
0.689285696,0.761538386,7925,1395,0,0,0,0,10,4,15,4.5,0.700100362,9320,-0.35653159,9.139918327,9,-0.076367199,-0.280164391,0.156864017
1.474074006,1.53888905,4895,1898,1,0,0,0,20,12.5,20,3.5,1.492183685,6793,0.4002406,8.823647499,10,-0.35653159,0.756772161,-0.280164391
1.616667032,1.5,1275,650,0,1,0,0,15,9,45,12.5,1.577273011,1925,0.455697417,7.562681198,11,0.4002406,0.055456817,0.756772161
1.450000048,1.511111021,1834,636,0,0,1,0,15,7.5,30,12.5,1.465735555,2470,0.38235721,7.811973572,12,0.455697417,-0.073340207,0.055456817
1.279167056,1.353124976,4295,4522,0,0,0,1,10,4.5,25,9,1.317098022,8817,0.275430858,9.08443737,13,0.38235721,-0.106926352,-0.073340207
1.216667056,1.268749952,3120,1545,0,0,0,0,10,4.5,20,7.5,1.233916402,4665,0.210193172,8.447843552,14,0.275430858,-0.065237686,-0.106926352
0.889999986,0.98636359,4165,3075,1,0,0,0,10,6,25,4,0.930927873,7240,-0.071573481,8.887376785,15,0.210193172,-0.281766653,-0.065237686
0.829999983,0.930000007,3250,540,0,1,0,0,10,4,25,6,0.844247997,3790,-0.16930899,8.240120888,16,-0.071573481,-0.097735509,-0.281766653
1.27857101,1.25,1730,300,0,0,1,0,15,8,15,6,1.274348736,2030,0.242435247,7.615790844,17,-0.16930899,0.411744237,-0.097735509
1.083333015,1.233332992,1245,1640,0,0,0,1,15,8,20,4,1.168601632,2885,0.155807853,7.967280388,18,0.242435247,-0.086627394,0.411744237
1.0625,1.166666985,540,660,0,0,0,0,15,7.5,35,8,1.119791865,1200,0.113142833,7.090076923,19,0.155807853,-0.04266502,-0.086627394
1,1.25,110,60,1,0,0,0,20,5.5,20,5,1.088235259,170,0.084557354,5.135798454,20,0.113142833,-0.028585479,-0.04266502
1.25,1.25,450,650,0,1,0,0,15,5.5,30,4.5,1.25,1100,0.223143548,7.003065586,21,0.084557354,0.138586193,-0.028585479
0.925000012,0.975000024,1670,810,0,0,1,0,10,3,25,5.5,0.941330671,2480,-0.060460798,7.816013813,22,0.223143548,-0.283604354,0.138586193
0.595833421,0.742857218,5010,1105,0,0,0,1,10,3.5,20,5.5,0.622401118,6115,-0.474170506,8.718500137,23,-0.060460798,-0.4137097,-0.283604354
0.5,0.430000007,3785,3000,0,0,0,0,10,5,20,3,0.469049364,6785,-0.757047236,8.822469711,24,-0.474170506,-0.28287673,-0.4137097
0.425000012,0.600000024,1940,840,1,0,0,0,15,5.5,35,6,0.477877706,2780,-0.7384004,7.930206299,25,-0.757047236,0.018646836,-0.28287673
0.5,0.25,1680,100,0,1,0,0,15,4,20,6,0.48595506,1780,-0.721639156,7.484368801,26,-0.7384004,0.016761243,0.018646836
0.558333278,0.600000024,1145,965,0,0,1,0,15,3,25,5.5,0.577389419,2110,-0.549238324,7.654443264,27,-0.721639156,0.172400832,0.016761243
0.514285684,0.559090912,2120,2585,0,0,0,1,10,2.5,15,4,0.538902342,4705,-0.618220925,8.456380844,28,-0.549238324,-0.068982601,0.172400832
0.583333373,0.588888884,1690,960,0,0,0,0,10,2.5,15,3,0.585345924,2650,-0.535552263,7.882314682,29,-0.618220925,0.082668662,-0.068982601
0.659090877,0.625,4805,2040,1,0,0,0,25,8,20,3,0.648930848,6845,-0.432429135,8.831274033,30,-0.535552263,0.103123128,0.082668662
0.366666704,0.600000024,1010,60,0,1,0,0,15,8,35,8,0.379750818,1070,-0.968239963,6.975413799,31,-0.432429135,-0.535810828,0.103123128
0.512499988,1.25,585,200,0,0,1,0,12,6.5,35,8,0.700398088,785,-0.3561064,6.665683746,32,-0.968239963,0.612133563,-0.535810828
1.487499952,1.450000048,2300,1145,0,0,0,1,12,6.5,25,8,1.475036263,3445,0.388682574,8.14467907,33,-0.3561064,0.744789004,0.612133563
1.432142973,1.419999957,1885,4020,0,0,0,0,10,6.5,18,6.5,1.423876286,5905,0.353382945,8.683554649,34,0.388682574,-0.035299629,0.744789004
1.386667013,1.389999986,2090,1370,1,0,0,0,15,6.5,20,3.5,1.38798666,3460,0.327854246,8.14902401,35,0.353382945,-0.025528699,-0.035299629
1.549999952,1.633332968,330,760,0,1,0,0,10,6.5,25,5,1.608103752,1090,0.475055695,6.993933201,36,0.327854246,0.147201449,-0.025528699
1.196153998,1.350000024,3040,1420,0,0,1,0,10,4.5,30,6.5,1.24513638,4460,0.219245061,8.40290451,37,0.475055695,-0.255810618,0.147201449
0.949999988,1.041666985,4190,1870,0,0,0,1,15,4.5,15,6.5,0.978286684,6060,-0.021952519,8.709465027,38,0.219245061,-0.241197586,-0.255810618
0.515625,0.73333329,7420,2235,0,0,0,0,10,5,20,4.5,0.566021502,9655,-0.569123209,9.17523098,39,-0.021952519,-0.547170699,-0.241197586
0.408333302,0.519999981,6435,1445,0,1,0,0,10,4.5,20,3,0.428810239,7880,-0.846740782,8.972083092,40,-0.569123209,-0.277617574,-0.547170699
0.26666671,0.349999994,1430,565,0,0,1,0,10,5,25,4.5,0.290267378,1995,-1.236952782,7.598399162,41,-0.846740782,-0.390211999,-0.277617574
0.357142895,0.474999994,1580,1500,0,0,0,1,12,5,15,4.5,0.414540827,3080,-0.880583823,8.03268528,42,-1.236952782,0.356368959,-0.390211999
0.421428591,0.543749988,4195,1330,0,0,0,0,12,4,18,5,0.450874299,5525,-0.796566665,8.617038727,43,-0.880583823,0.084017158,0.356368959
0.466666698,0.574999988,1020,1200,1,0,0,0,5,4,20,4,0.525225222,2220,-0.643928111,7.705262661,44,-0.796566665,0.152638555,0.084017158
0.433333308,0.5,1220,300,0,1,0,0,10,5.5,10,3.5,0.446491212,1520,-0.806335568,7.326465607,45,-0.643928111,-0.162407458,0.152638555
0.79285723,0.833333313,1570,305,0,0,1,0,15,6,15,4,0.799441338,1875,-0.223842129,7.536364079,46,-0.806335568,0.582493424,-0.162407458
1.183333039,1.227777958,550,875,0,0,0,1,15,8,25,5.5,1.210623741,1425,0.191135719,7.261927128,47,-0.223842129,0.414977849,0.582493424
1.331249952,1.216667056,1140,1340,0,0,0,0,15,8,25,6,1.26933825,2480,0.238495708,7.816013813,48,0.191135719,0.047359988,0.414977849
1.133332968,1.112499952,1040,1935,1,0,0,0,15,6,20,4,1.119782805,2975,0.113134742,7.997999191,49,0.238495708,-0.125360966,0.047359988
1.041666985,1.064285994,410,1300,0,1,0,0,10,4.5,30,6,1.058862686,1710,0.057195395,7.444248676,50,0.113134742,-0.055939347,-0.125360966
0.773077011,0.768181801,4320,2820,0,0,1,0,10,4.5,15,6,0.771143615,7140,-0.259880662,8.873468399,51,0.057195395,-0.317076057,-0.055939347
0.783333421,0.781818211,3440,3420,0,0,0,1,5,4,20,4.5,0.782578051,6860,-0.245161623,8.833462715,52,-0.259880662,0.014719039,-0.317076057
0.585714281,0.642857075,3620,1153,0,0,0,0,5,3.5,20,4.5,0.59951812,4773,-0.511629105,8.470730782,53,-0.245161623,-0.266467482,0.014719039
0.412499994,0.448333293,2800,6800,1,0,0,0,10,5.5,15,3.5,0.437881917,9600,-0.825806022,9.169518471,54,-0.511629105,-0.314176917,-0.266467482
0.600000024,0.70714277,5940,1300,0,1,0,0,10,3.5,30,5.5,0.619238377,7240,-0.479264975,8.887376785,55,-0.825806022,0.346541047,-0.314176917
0.772222221,0.870000005,2320,540,0,0,1,0,10,5,15,5.5,0.790683746,2860,-0.234857202,7.958576679,56,-0.479264975,0.244407773,0.346541047
0.716666698,0.748000026,3075,2900,0,0,0,1,20,6.5,15,3.5,0.731874526,5975,-0.312146187,8.695339203,57,-0.234857202,-0.077288985,0.244407773
0.683333278,0.694444418,1120,950,0,0,0,0,25,6.5,25,5,0.688432574,2070,-0.373337895,7.635303974,58,-0.312146187,-0.061191708,-0.077288985
0.600000024,0.638888896,1560,2980,1,0,0,0,15,3.5,20,6.5,0.62552619,4540,-0.469162077,8.420681953,59,-0.373337895,-0.095824182,-0.061191708
0.508333325,0.62142849,3380,2690,0,1,0,0,15,4,20,4,0.558452904,6070,-0.582584977,8.71111393,60,-0.469162077,-0.1134229,-0.095824182
0.916666687,1,630,620,0,0,1,0,15,5,20,3.5,0.958000004,1250,-0.042907495,7.130898952,61,-0.582584977,0.539677501,-0.1134229
1.083333015,1.15625,1500,1305,0,0,0,1,10,5,15,4,1.117256999,2805,0.110876575,7.939158916,62,-0.042907495,0.153784066,0.539677501
0.600000024,0.595454574,1460,3050,0,0,0,0,10,8,25,5,0.596926033,4510,-0.515962064,8.41405201,63,0.110876575,-0.626838624,0.153784066
0.699999988,1,335,950,1,0,0,0,5,3,18,8,0.921789885,1285,-0.081437975,7.158514023,64,-0.515962064,0.434524089,-0.626838624
0.74000001,0.774999976,1420,410,0,1,0,0,5,7,20,3.5,0.747841537,1830,-0.290564179,7.512071133,65,-0.081437975,-0.209126204,0.434524089
0.620000005,0.675000012,1530,950,0,0,1,0,15,7,10,3,0.641068578,2480,-0.444618851,7.816013813,66,-0.290564179,-0.154054672,-0.209126204
0.611764729,0.615384579,4440,4225,0,0,0,1,10,4,25,7,0.613529742,8665,-0.488526523,9.067047119,67,-0.444618851,-0.043907672,-0.154054672
0.807142913,0.841666698,1530,340,0,0,0,0,10,5,20,7,0.813419938,1870,-0.206507772,7.53369379,68,-0.488526523,0.282018751,-0.043907672
1.149999976,1.216667056,660,480,1,0,0,0,25,8,35,6.5,1.178070307,1140,0.16387777,7.03878355,69,-0.206507772,0.370385528,0.282018751
0.899999976,1.333333015,360,690,0,1,0,0,10,6.5,35,8,1.184761643,1050,0.169541612,6.956545353,70,0.16387777,0.005663842,0.370385528
0.800000012,0.841666698,3440,830,0,0,1,0,10,4,35,8,0.808099151,4270,-0.213070512,8.359369278,71,0.169541612,-0.382612109,0.005663842
0.631250024,0.643750012,3270,5320,0,0,0,1,10,4,15,6.5,0.638991594,8590,-0.447863966,9.058354378,72,-0.213070512,-0.234793454,-0.382612109
0.526666582,0.59117651,6190,3270,0,0,0,0,10,4,15,4,0.548965454,9460,-0.599719763,9.154828072,73,-0.447863966,-0.151855797,-0.234793454
0.649999976,0.691666722,1482,2550,1,0,0,0,10,4,20,4,0.676351726,4032,-0.391042024,8.302018166,74,-0.599719763,0.208677739,-0.151855797
0.75,0.616666675,200,675,0,1,0,0,10,4,15,4,0.647142887,875,-0.435188174,6.774223804,75,-0.391042024,-0.04414615,0.208677739
0.50666672,0.586666703,6660,4280,0,0,1,0,10,3,20,4,0.537964702,10940,-0.619962335,9.300181389,76,-0.435188174,-0.18477416,-0.04414615
0.65625,0.72299999,1400,1725,0,0,0,1,10,3,15,4,0.693095982,3125,-0.366586775,8.047189713,77,-0.619962335,0.25337556,-0.18477416
0.644999981,0.757142782,3480,990,0,0,0,0,10,3,15,3,0.669836998,4470,-0.400720894,8.405143738,78,-0.366586775,-0.03413412,0.25337556
0.681249976,0.795000017,2960,1560,1,0,0,0,15,3.5,15,3,0.720508814,4520,-0.327797621,8.416267395,79,-0.400720894,0.072923273,-0.03413412
0.649999976,0.735714316,930,680,0,1,0,0,15,4,25,3,0.686202288,1610,-0.376582801,7.383989334,80,-0.327797621,-0.04878518,0.072923273
0.600000024,0.925000012,190,180,0,0,1,0,5,4,25,3.5,0.758108139,370,-0.276929229,5.91350317,81,-0.376582801,0.099653572,-0.04878518
0.71875,0.75,4820,2350,0,0,0,1,5,3,25,4,0.728992343,7170,-0.316092044,8.877660751,82,-0.276929229,-0.039162815,0.099653572
0.780769229,0.818750024,4750,890,0,0,0,0,10,4,10,4,0.786762655,5640,-0.239828661,8.637639046,83,-0.316092044,0.076263383,-0.039162815
0.747500002,0.75555563,4600,1260,0,1,0,0,10,4,15,4,0.749232113,5860,-0.288706452,8.675905228,84,-0.239828661,-0.048877791,0.076263383
0.855000019,0.936363578,1620,1330,0,0,1,0,10,3,15,4,0.891682565,2950,-0.114645079,7.989560604,85,-0.288706452,0.174061373,-0.048877791
0.853333414,0.865714312,3330,2520,0,0,0,1,10,5,15,4,0.858666718,5850,-0.152374417,8.674197197,86,-0.114645079,-0.037729338,0.174061373
0.580769181,0.669230819,9120,1660,0,0,0,0,10,5,15,3,0.594391286,10780,-0.520217419,9.285448074,87,-0.152374417,-0.367843002,-0.037729338
0.606249988,0.660000026,1620,1440,1,0,0,0,10,3.5,18,3,0.631544113,3060,-0.459587485,8.026169777,88,-0.520217419,0.060629934,-0.367843002
0.533333421,0.605555475,1260,1260,0,1,0,0,10,3,15,3.5,0.569444418,2520,-0.563094079,7.832014084,89,-0.459587485,-0.103506595,0.060629934
0.433333308,0.51666671,3420,970,0,0,1,0,10,3,15,3.5,0.451746374,4390,-0.794634402,8.387084961,90,-0.563094079,-0.231540322,-0.103506595
0.379999995,0.474999994,4890,2050,0,0,0,1,10,3,15,3,0.408061951,6940,-0.896336257,8.845057487,91,-0.794634402,-0.101701856,-0.231540322
0.308823496,0.337500006,5700,900,0,0,0,0,10,3.5,15,3,0.312733918,6600,-1.162402511,8.7948246,92,-0.896336257,-0.266066253,-0.101701856
0.320833296,0.643750012,2290,1160,1,0,0,0,15,4.5,15,3.5,0.429408193,3450,-0.845347285,8.146129608,93,-1.162402511,0.317055225,-0.266066253
0.875,0.933333278,540,690,0,1,0,0,12,4.5,25,4,0.907723546,1230,-0.096815415,7.114769459,94,-0.845347285,0.748531878,0.317055225
1.235713959,1.25,1000,250,0,0,1,0,12,5,25,4.5,1.238571167,1250,0.213958427,7.130898952,95,-0.096815415,0.310773849,0.748531878
1.25,1.25,2500,1480,0,0,0,1,15,6,18,4.5,1.25,3980,0.223143548,8.289036751,96,0.213958427,0.00918512,0.310773849
1.730000019,1.708333015,3040,740,0,0,0,0,15,9,20,5,1.725758314,3780,0.545666575,8.23747921,97,0.223143548,0.322523028,0.00918512
