daded,momed,sinmom14,black,wage,iqscore,exp,ed
8,8,no,no,481,93,9,12
14,12,no,no,721,103,16,12
11,12,no,no,250,88,10,11
8,7,no,no,729,108,16,12
9,12,no,no,500,85,8,12
14,14,no,no,565,119,9,18
14,14,no,no,608,108,9,14
12,12,no,no,425,96,10,12
12,12,no,no,515,97,11,12
11,12,no,no,225,84,13,9
11,6,no,no,400,89,8,12
11,6,no,no,417,93,7,11
11,6,no,no,217,74,13,11
9.94,8,yes,yes,894,116,9,16
12,8,no,no,346,93,16,12
9.94,12,yes,no,658,100,9,14
8,8,no,no,575,91,10,10
8,8,no,no,649,88,14,12
9.94,8,no,no,614,114,10,18
5,14,no,no,726,111,11,15
11,12,no,no,693,95,14,12
14,13,no,no,1400,132,10,18
16,16,no,no,1800,109,8,18
11,12,no,no,413,108,7,12
9.94,16,yes,no,632,102,9,14
12,12,no,no,208,106,7,12
9.94,11,yes,yes,457,104,7,12
10,10,no,no,824,119,2,16
9.94,12,yes,no,577,122,10,18
6,10,no,no,255,90,11,11
12,12,no,no,962,118,8,16
8,6,no,no,944,105,15,10
6,12,no,yes,235,65,7,11
11,10,no,no,1000,120,16,12
9.94,12,yes,no,481,86,11,9
10,12,no,no,624,109,11,15
8,10,no,no,650,72,17,11
12,11,no,no,353,101,6,12
9.94,12,yes,no,659,105,6,13
10,11,no,no,440,101,7,12
12,10,no,yes,738,96,8,12
9.94,8,yes,no,705,101,9,12
10,12,no,no,425,91,9,12
12,12,no,no,538,115,8,16
12,12,no,no,740,113,10,16
10,10,no,no,769,95,16,12
10,10,no,no,592,102,6,12
12,12,no,no,1563,145,12,16
11,11,no,no,774,114,6,16
8,9,no,no,600,113,8,12
8,12,no,no,570,93,12,13
12,12,no,no,538,119,7,15
12,9,no,no,627,108,7,12
6,11,no,no,545,72,8,12
12,9,no,no,576,86,7,12
14,12,no,no,700,123,3,16
12,12,no,no,788,103,6,16
12,12,no,no,1012,101,4,17
10,12,no,no,500,95,8,12
8,6,no,no,550,98,14,11
8,8,no,no,810,115,7,18
9.94,9,yes,yes,313,60,10,12
9.94,4,yes,no,731,135,1,18
14,11,no,no,817,102,7,16
15,12,no,no,865,91,10,14
12,12,no,no,350,104,7,15
16,16,no,no,505,97,13,13
12,13,no,no,816,125,7,17
14,12,no,no,625,123,2,18
16,16,no,no,769,128,8,18
9.94,8,yes,no,650,103,12,12
10,12,no,no,769,130,4,18
10,12,no,no,512,97,8,12
12,13,no,no,625,132,7,18
12,12,no,no,1111,98,11,14
12,12,no,no,721,108,9,13
13,12,no,no,1154,107,12,14
18,18,no,no,827,129,10,18
14,17,no,no,1076,132,5,17
9.94,8,no,no,625,101,15,12
9.94,8,yes,no,460,92,8,13
8,12,no,yes,900,108,4,14
8,9,no,no,682,132,5,18
12,15,no,no,625,106,8,13
12,12,no,no,1005,123,8,18
9,11,no,no,725,109,7,11
8,11,no,no,750,103,6,15
9.94,8,no,no,529,108,9,14
8,12,no,no,972,122,6,17
12,12,no,no,472,109,8,12
12,12,no,no,325,102,6,12
9.94,12,no,no,875,109,16,12
9,10,no,no,625,100,15,13
8,10,no,no,337,93,8,12
5,5,no,no,481,115,5,16
15,14,no,no,962,125,6,18
13,12,no,no,615,106,7,16
12,12,no,no,702,113,8,14
9.94,12,no,no,635,122,11,14
10,10,no,no,817,116,9,12
9.94,12,yes,no,577,116,6,14
12,12,no,no,466,105,3,17
12,12,no,no,635,113,8,14
12,12,no,no,705,94,7,16
12,9,no,no,635,103,8,14
9.94,12,no,no,694,102,12,12
10,12,no,no,615,109,15,13
15,10,no,no,462,130,4,16
12,12,no,no,865,105,16,12
12,12,no,no,737,134,9,18
9.94,7,yes,no,808,105,13,12
11,12,no,no,654,104,4,16
9.94,12,yes,no,300,112,7,12
8,10,no,no,577,115,8,16
8,8,no,no,594,117,7,18
12,8,no,no,325,114,3,17
12,12,no,no,1000,107,1,18
8,11,no,no,465,120,4,18
16,18,no,no,440,131,6,16
16,17,no,no,625,124,5,16
11,12,no,no,285,121,4,17
10,12,no,no,650,110,7,14
10,12,no,no,808,103,6,13
14,12,no,no,831,115,4,16
8,6,no,no,500,96,13,12
12,12,no,no,693,123,9,17
12,10,no,no,1100,101,9,12
8,12,no,no,763,98,7,12
7,8,no,no,333,108,3,16
16,12,no,no,409,138,6,18
9.94,12,no,no,865,121,5,16
8,12,no,no,888,96,13,12
9.94,12,no,no,673,89,16,12
7,10.25,no,no,700,109,15,12
16,16,no,no,250,133,9,18
11,9,no,no,625,84,10,11
8,12,no,no,576,98,9,13
12,9,no,yes,613,85,8,12
11,9,no,no,700,105,13,12
11,9,no,no,450,93,6,12
9.94,12,yes,no,500,115,6,16
12,12,no,no,250,146,3,16
9,12,no,no,375,82,11,12
9.94,12,yes,no,457,120,13,15
9.94,12,yes,no,951,122,10,12
9.94,10.25,no,no,500,110,3,16
16,12,no,no,726,114,8,18
18,12,no,no,1265,117,5,18
18,18,no,yes,613,109,3,17
10,11,no,no,545,91,10,12
16,12,no,no,1442,114,10,18
16,12,no,no,995,126,5,16
11,11,no,no,700,82,11,12
9,12,no,no,577,119,6,16
6,12,no,no,858,104,9,16
12,10.25,no,no,686,97,10,12
11,10.25,no,no,832,115,10,15
12,12,no,no,689,97,14,12
8,8,no,no,769,119,10,14
12,14,no,no,385,105,6,15
10,12,no,no,615,114,9,12
9.94,8,yes,no,682,93,16,12
9.94,10.25,yes,no,670,73,16,10
8,8,no,no,800,96,16,11
12,16,no,no,1026,117,6,18
16,12,no,no,769,113,4,15
10,14,no,no,290,106,16,10
9.94,8,yes,no,529,104,9,13
12,10.25,no,no,549,80,13,10
8,12,no,no,475,104,8,12
12,12,no,no,450,102,8,12
10,10.25,no,no,875,114,4,17
16,16,no,no,300,122,7,13
16,10.25,no,no,462,117,3,16
13,12,no,no,385,96,12,12
16,16,no,no,1282,95,11,15
12,12,no,no,588,117,3,16
17,16,no,no,600,105,9,12
8,8,no,yes,440,94,15,12
14,12,no,no,929,91,6,17
14,12,no,no,556,96,5,16
14,12,no,no,438,114,5,13
9,10,no,yes,600,54,11,12
9,10,no,yes,575,69,8,12
9,10,no,yes,389,67,8,12
12,10.25,no,no,795,110,16,12
18,16,no,no,471,125,3,18
15,17,no,no,350,113,1,17
10,12,no,no,375,100,4,14
12,9,no,no,481,97,3,16
8,8,no,no,962,125,7,18
12,12,no,no,423,106,6,15
11,12,no,no,500,101,6,15
10,9,no,no,575,91,14,12
10,8,no,no,577,86,15,12
8,9,no,no,310,110,13,12
9.94,12,no,no,1322,92,12,14
12,9,no,no,551,85,18,10
8,8,no,no,881,120,7,17
9.94,9,yes,no,427,107,8,12
9.94,9,yes,no,576,116,2,16
12,12,no,no,577,112,5,16
7,11,no,no,770,100,7,12
7,12,no,no,500,112,8,12
14,12,no,no,391,108,6,16
12,10,no,no,810,90,16,12
12,10.25,no,yes,543,86,19,9
12,12,no,no,864,127,2,17
9.94,8,no,yes,700,86,12,10
12,12,no,no,510,113,7,12
9,12,no,no,615,111,15,13
9,8,no,no,761,113,9,14
9.94,10.25,no,no,493,81,15,10
12,12,no,no,445,111,2,16
12,12,no,no,700,114,2,16
12,12,no,no,608,111,11,12
7,8,no,no,450,106,5,13
12,12,no,no,500,79,13,14
11,12,no,no,365,98,8,12
10,12,no,no,813,105,8,12
9.94,10,yes,no,524,105,11,12
9,12,no,no,815,118,9,13
11,12,no,no,750,100,10,12
8,12,no,no,1125,90,14,12
8,9,no,no,625,95,10,12
12,12,no,no,715,112,5,14
8,12,no,no,591,96,13,12
10,12,no,no,675,120,10,12
10,12,no,no,444,123,7,12
8,12,no,no,325,114,8,12
15,16,no,no,668,103,7,13
18,16,no,no,2404,121,7,18
12,12,no,no,986,90,12,16
12,12,no,no,577,125,7,12
12,12,no,no,286,104,6,17
18,16,no,no,231,106,8,14
9,10,no,no,615,122,7,15
9,10,no,no,700,120,4,15
12,7,no,no,714,112,9,18
8,9,no,no,868,109,4,18
9,10,no,no,917,128,7,16
12,12,no,no,1065,97,9,12
12,12,no,no,400,96,11,12
12,12,no,no,640,103,9,12
8,12,no,no,817,97,6,12
10,9,no,no,975,120,4,17
6,7,no,yes,750,78,11,12
7,8,no,no,463,118,3,15
11,9,no,no,401,89,9,12
7,6,no,no,625,98,6,14
9.94,7,no,no,553,112,12,12
5,2,no,no,579,88,16,12
12,12,no,no,1923,136,9,18
13,10,no,no,806,124,4,16
9.94,6,yes,yes,344,96,11,12
11,14,no,no,962,97,14,12
12,10,no,no,837,107,10,18
9.94,10.25,no,no,563,111,6,16
10,10,no,no,1410,102,6,16
9.94,12,no,no,480,115,7,12
7,12,no,yes,417,92,5,14
16,13,no,no,300,116,3,16
9,6,no,no,721,101,14,12
8,10.25,no,no,856,99,16,12
10,7,no,no,738,106,14,10
6,10.25,no,no,572,122,17,11
9.94,9,no,no,805,88,14,12
6,8,no,no,400,59,14,10
12,16,no,no,962,126,5,18
13,16,no,no,817,126,3,18
12,12,no,no,721,105,6,18
16,16,no,no,913,123,0,18
8,12,no,no,379,119,4,17
8,12,no,no,350,108,6,14
8,8,no,no,694,93,16,11
9.94,12,no,no,1014,82,14,12
16,16,no,no,1136,123,10,18
16,16,no,no,1709,134,6,18
12,8,no,no,529,84,8,12
12,16,no,yes,673,101,9,17
17,12,no,no,846,117,4,18
12,12,no,no,710,98,10,11
12,13,no,no,820,118,4,16
9,10,no,no,500,129,4,15
12,12,no,no,1049,96,9,16
16,12,no,no,1202,124,5,18
8,10,no,no,648,122,6,16
12,12,no,no,875,85,11,13
12,8,no,no,2244,111,13,15
12,8,no,no,1442,90,13,12
10,16,no,no,1262,101,9,18
11,9,no,no,600,100,6,12
9.94,10,no,yes,300,95,9,11
12,12,no,no,538,120,2,16
9.94,8,no,no,1000,90,10,12
12,15,no,no,561,122,4,16
18,18,no,no,285,140,2,18
16,12,no,no,437,106,5,16
12,12,no,no,325,93,6,13
10,12,no,no,580,119,6,16
12,12,no,yes,588,95,4,16
14,12,no,no,801,115,5,18
8,10,no,no,312,119,5,14
4,11,no,yes,250,67,11,12
4,11,no,yes,500,97,6,15
9.94,12,yes,yes,750,111,15,12
11,11,no,no,250,112,7,15
8,8,no,no,400,93,7,12
14,12,no,no,555,122,4,17
12,12,no,no,699,106,7,15
9.94,10,no,no,1216,127,8,18
12,12,no,no,615,113,7,16
12,12,no,no,745,115,5,14
16,10,no,no,647,118,1,18
8,12,no,no,745,106,7,12
17,12,no,no,815,118,3,16
13,10,no,no,865,126,9,16
7,8,no,no,542,95,10,12
18,12,no,no,365,107,8,13
18,12,no,no,417,100,8,10
9.94,12,yes,no,657,102,5,16
9.94,12,yes,no,529,113,5,15
8,12,no,no,851,96,6,17
12,9,no,no,663,106,7,12
9,12,no,no,889,111,4,18
18,12,no,no,231,138,2,18
10,9,no,no,802,110,14,12
12,14,no,yes,775,85,4,15
16,10.25,no,no,865,113,11,16
10,12,no,no,1014,117,6,16
16,16,no,no,641,126,8,18
10,10,no,no,333,125,2,16
8,12,no,no,528,125,2,18
12,11,no,no,817,125,1,18
18,12,no,no,692,129,5,18
12,8,no,no,989,118,11,16
16,12,no,no,1002,121,10,18
12,12,no,no,1241,115,10,18
9.94,12,no,no,921,120,12,14
7,8,no,no,571,85,10,12
6,11,no,no,525,109,13,12
8,12,no,no,1154,117,10,12
10,12,no,no,635,104,4,14
11,12,no,no,388,109,7,13
8,10,no,no,688,105,8,12
9.94,10.25,no,no,630,85,16,12
12,8,no,no,1044,115,13,15
9.94,12,yes,no,500,89,7,12
9.94,12,yes,no,781,85,16,12
12,11,no,no,577,102,7,13
10,11,no,no,524,106,5,14
10,10,no,no,625,101,8,12
9,12,no,no,1010,105,9,16
9,12,no,no,601,116,8,12
7,7,no,no,426,90,10,12
5,11,no,no,1060,91,12,12
5,11,no,no,414,128,8,12
9.94,7,yes,no,492,110,12,12
9.94,7,yes,no,325,93,9,12
12,7,no,no,275,75,10,12
8,12,no,no,291,94,7,12
12,12,no,no,488,112,6,14
12,12,no,no,337,121,4,14
12,12,no,no,725,100,9,12
12,12,no,no,440,109,6,13
8,8,no,no,641,122,5,16
8,11,no,no,375,102,10,12
9.94,10.25,no,no,481,131,7,12
10,8,no,no,925,122,9,14
10,10,no,no,1065,105,15,12
9.94,10,no,no,638,103,10,12
9,9,yes,no,739,113,14,12
12,8,no,no,493,104,8,12
11,9,no,no,629,124,8,16
8,12,no,no,409,110,9,13
9.94,10.25,no,no,600,112,9,18
11,12,no,no,745,104,10,12
12,12,no,no,549,95,11,12
12,12,no,no,875,103,8,12
12,12,no,no,639,116,7,12
12,12,no,no,504,95,9,14
9.94,18,yes,no,721,120,6,16
8,8,no,no,785,102,9,12
8,12,no,no,546,105,16,12
8,8,no,no,828,103,7,12
10,10,no,no,159,94,7,12
10,12,no,no,721,102,9,13
12,16,no,no,553,112,3,16
7,6,no,no,542,101,6,14
12,12,no,no,509,121,2,16
12,12,no,no,385,105,2,16
10,8,no,no,1442,96,14,12
14,14,no,no,879,128,10,16
12,9,no,no,863,110,10,12
11,12,no,no,740,92,9,12
9.94,10.25,no,no,889,87,16,12
9.94,9,no,no,450,98,16,12
9.94,10.25,no,no,700,103,16,12
8,12,no,no,744,122,13,14
12,11,no,no,889,109,10,16
12,12,no,no,692,125,8,18
12,12,no,no,604,119,9,18
9.94,14,yes,no,625,97,6,18
8,12,no,no,746,103,13,14
8,16,no,no,726,95,9,18
8,10,no,no,560,99,12,12
12,10,no,no,424,106,8,12
9.94,12,yes,no,400,117,8,12
12,12,no,no,250,112,6,14
8,12,no,no,646,136,7,13
8,8,no,no,1000,110,9,12
12,13,no,no,528,111,10,12
12,13,no,no,481,115,8,12
6,12,no,no,850,90,15,12
9.94,10.25,no,no,506,98,10,14
8,8,no,no,512,106,11,12
11,12,no,no,240,95,13,12
11,12,no,no,557,115,10,12
12,12,no,no,500,106,6,15
9.94,10.25,no,no,372,102,4,16
8,8,no,no,350,91,9,10
8,8,no,no,584,114,8,12
10,12,no,no,515,92,7,13
9.94,10.25,no,no,390,111,11,12
12,12,no,no,280,111,3,16
9.94,12,no,no,300,96,8,12
12,13,no,no,635,119,4,17
12,13,no,no,342,85,7,13
12,12,no,no,505,98,4,16
12,12,no,no,356,114,5,13
9.94,10.25,no,no,262,79,15,12
16,16,no,no,740,108,10,13
8,12,no,no,276,121,8,15
12,10.25,no,no,239,117,7,12
4,8,no,no,350,107,11,12
10,12,no,no,750,105,10,15
12,9,no,no,692,105,11,16
12,14,no,no,147,88,16,12
12,10,no,no,280,96,8,12
9.94,7,no,no,769,105,8,18
16,14,no,no,517,100,6,14
16,14,no,no,400,116,4,16
12,10,no,no,375,86,7,12
12,10,no,no,596,88,13,12
9.94,10.25,no,no,417,97,16,11
9.94,12,yes,no,338,112,7,16
18,14,no,no,481,125,2,18
9,10.25,no,no,450,84,18,10
14,12,no,no,769,117,7,16
14,12,no,no,721,110,4,16
9.94,9,no,no,1000,104,10,13
12,12,no,no,625,101,10,14
12,11,no,no,817,99,4,16
8,10.25,no,no,377,87,16,12
9.94,10.25,no,no,708,101,15,12
12,12,no,no,411,117,4,14
9.94,10.25,no,no,1339,108,13,13
9.94,9,no,yes,192,86,16,10
10,10,no,yes,924,69,12,16
12,12,no,no,625,104,6,13
9,11,no,yes,503,109,10,12
8,8,no,no,462,85,6,16
9,11,no,no,476,114,3,16
8,13,no,no,500,99,5,15
9.94,10.25,no,no,663,90,15,13
12,12,no,no,707,119,13,15
9.94,10.25,no,no,928,120,9,16
18,12,no,no,365,112,6,15
9.94,10.25,no,no,645,97,12,12
14,12,no,no,462,107,1,18
8,12,no,no,1026,117,9,18
16,16,no,no,375,125,5,18
18,16,no,no,1538,112,10,18
18,14,no,no,923,106,9,18
8,12,no,no,568,104,7,13
8,12,no,no,600,89,5,14
17,12,no,no,721,116,6,15
9.94,8,yes,no,712,123,7,14
9.94,8,no,no,808,118,7,16
8,12,no,no,925,106,10,11
9.94,10.25,yes,no,271,91,8,12
7,12,no,no,1200,103,12,12
6,8,no,no,581,114,13,14
12,8,no,yes,686,105,11,17
12,8,no,yes,1000,84,8,18
12,16,no,no,500,81,10,12
3,12,no,no,750,118,14,13
12,12,no,no,577,113,2,16
8,12,no,no,601,121,8,12
6,12,no,no,577,102,13,12
9.94,6,no,no,677,104,14,12
9,10,no,yes,473,106,3,18
12,12,no,no,378,108,2,16
16,13,no,no,243,121,3,16
7,12,no,no,750,87,8,12
12,14,no,no,441,107,6,18
12,14,no,no,688,112,9,14
12,14,no,no,501,116,1,18
12,12,no,no,400,115,11,12
12,12,no,no,981,107,8,12
12,12,no,no,649,117,10,14
9.94,10.25,yes,no,625,110,14,12
11,12,no,no,1043,96,11,12
6,6,no,yes,575,91,8,13
9.94,6,yes,yes,865,97,6,14
12,8,no,yes,713,90,10,12
7,8,no,no,673,112,5,16
7,8,no,no,662,97,7,12
11,8,no,no,543,120,9,14
8,9,no,yes,500,99,16,12
5,8,no,no,240,99,10,10
9.94,10.25,no,no,462,85,15,12
9.94,11,yes,yes,404,97,9,12
9.94,11,yes,yes,450,95,7,12
9.94,6,no,yes,962,80,10,12
9.94,8,yes,no,750,126,7,14
8,12,no,no,692,109,11,17
9.94,11,yes,yes,710,86,12,11
12,12,no,no,833,112,9,12
12,12,no,no,625,119,7,16
12,12,no,no,673,102,3,16
12,10,no,no,400,128,10,17
12,10.25,no,no,518,82,19,9
12,12,no,no,409,113,10,17
5,9,no,no,559,105,10,18
13,13,no,no,1202,94,4,14
9.94,12,no,no,329,117,2,17
14,14,no,no,481,116,3,18
12,12,no,no,1282,112,12,16
9,9,no,no,444,105,3,18
9.94,9,yes,yes,481,87,6,16
16,12,no,yes,467,108,6,12
12,12,no,no,286,89,6,15
12,12,no,no,577,119,9,18
12,12,no,no,721,97,9,14
6,8,no,no,462,89,7,12
6,12,no,no,200,131,6,12
16,16,no,no,769,85,6,16
16,16,no,no,641,114,2,16
14,10,no,no,1055,98,13,14
14,12,no,no,676,110,9,16
9.94,10.25,no,no,691,124,10,12
14,12,no,no,400,90,9,13
14,12,no,no,673,108,5,16
10,11,no,yes,1442,112,10,18
16,10,no,no,529,100,8,18
9,11,no,yes,700,84,7,14
8,10,no,no,494,97,1,18
12,8,no,no,500,113,6,12
9,10,no,yes,575,88,11,12
9,10,no,yes,350,74,7,12
12,12,no,no,643,115,7,16
12,12,no,no,679,91,7,15
12,9,no,no,534,103,9,12
12,10,no,no,524,102,9,16
10,10,no,no,667,98,6,16
9,12,no,no,311,82,3,18
10,12,no,no,660,112,11,14
8,9,no,no,692,108,9,16
9.94,7,no,no,577,90,7,15
5,8,no,no,292,111,5,16
8,11,no,no,750,96,7,13
16,16,no,no,1202,127,11,16
9.94,8,no,no,1603,97,12,15
9.94,12,no,no,769,120,12,14
14,16,no,no,513,101,9,16
9.94,8,yes,no,805,100,13,12
16,16,no,no,675,104,7,12
8,8,no,no,398,116,5,13
12,12,no,no,855,120,13,14
9.94,9,yes,yes,693,95,8,11
10,8,no,yes,345,99,8,13
9.94,10.25,no,yes,561,68,9,12
16,16,no,no,469,122,7,16
12,12,no,no,300,106,4,16
12,9,no,no,673,101,1,18
8,6,no,no,808,104,11,16
12,12,no,no,1425,101,11,12
11,5,no,no,761,110,10,12
11,5,no,no,600,94,8,12
12,15,no,no,1111,111,10,16
13,17,no,no,763,120,11,16
8,8,no,no,650,108,14,12
16,16,no,no,1155,111,7,14
11,11,no,no,555,103,11,12
9.94,10.25,no,no,800,97,14,11
10,11,no,no,1000,97,9,11
13,11,no,no,864,106,13,12
9.94,6,no,no,613,109,13,13
9.94,10.25,no,yes,707,96,11,13
10,12,no,yes,300,62,9,10
9.94,12,yes,no,1322,117,12,16
9.94,10.25,no,yes,400,83,9,11
9.94,10.25,yes,yes,498,99,8,11
9.94,11,yes,yes,663,72,17,10
8,11,no,yes,600,88,17,10
16,12,no,no,1034,123,8,18
12,12,no,no,1079,91,5,14
12,12,no,no,400,98,0,18
13,12,no,no,641,119,11,16
9.94,8,no,no,620,87,14,12
12,11,no,no,481,121,7,17
8,12,no,no,545,112,8,12
12,12,no,no,786,113,6,14
12,12,no,no,485,125,1,18
12,12,no,no,695,128,7,15
15,12,no,no,793,103,11,15
18,16,no,no,1923,99,11,16
12,12,no,no,793,101,12,15
9.94,10.25,no,no,900,117,7,15
8,8,no,no,654,109,12,14
12,12,no,no,513,73,9,12
