daded,momed,sinmom14,black,wage,iqscore,exp,ed
14,12,no,no,545,123,6,16
14,12,no,no,562,122,5,14
12,12,no,no,577,86,8,12
10,12,no,no,890,80,5,15
6,10.25,no,no,625,96,7,13
6,12,no,no,416,112,7,13
9.94,10.25,yes,yes,664,77,10,12
9.94,10.25,no,no,286,92,15,11
12,12,no,yes,742,89,7,16
9.94,8,no,no,623,87,16,12
11,10,no,no,550,95,11,12
10,12,no,no,801,117,5,16
12,12,no,no,330,67,10,14
4,12,no,no,684,112,12,16
18,12,no,no,1000,119,8,15
9.94,10.25,no,no,1091,103,8,16
9.94,9,yes,yes,450,74,14,12
12,12,no,no,361,112,5,16
6,8,no,no,616,102,2,17
8,9,no,no,415,95,8,12
9,6,no,no,500,81,9,13
10,10,no,no,1155,124,4,18
8,7,no,no,525,89,14,12
8,12,no,no,625,91,15,8
7,11,no,no,673,109,8,16
6,7,no,yes,351,88,10,12
5,9,no,yes,723,67,10,12
6,12,no,yes,240,81,8,11
12,12,no,no,413,119,1,17
8,12,no,no,848,83,11,12
7,16,no,no,874,101,10,16
9.94,8,no,yes,265,75,7,14
12,12,yes,no,839,109,8,16
4,1,no,no,196,104,10,12
0,4,no,yes,475,72,14,12
7,4,no,no,500,87,9,11
16,12,no,no,945,106,3,16
5,11,no,no,474,103,7,15
9.94,10.25,no,no,519,95,8,12
8,6,no,no,375,91,10,12
12,12,no,no,475,101,5,16
11,12,no,no,393,121,5,16
8,8,no,yes,500,65,10,12
9.94,12,yes,yes,475,85,15,12
9.94,8,yes,yes,365,70,13,12
9.94,10.25,yes,yes,281,65,9,11
9.94,6,yes,yes,263,90,15,12
11,12,no,no,1012,110,5,18
11,12,no,no,833,102,5,17
7,5,no,yes,346,67,14,9
5,10.25,no,yes,300,68,8,11
9.94,11,yes,yes,375,88,15,11
7,7,no,no,418,94,8,12
8,12,no,no,865,97,17,10
9.94,6,yes,no,519,98,15,13
9.94,12,no,no,865,101,14,13
16,12,no,no,855,115,4,17
18,17,no,no,831,122,9,18
18,17,no,no,875,117,9,16
4,8,no,no,1374,105,13,14
9.94,8,yes,no,451,113,12,16
12,17,no,no,684,101,10,18
12,12,no,no,913,113,13,13
9.94,12,no,no,855,88,14,13
9.94,12,yes,yes,375,93,11,12
9.94,5,yes,yes,441,117,5,16
9.94,7,yes,yes,410,83,14,12
14,16,no,no,693,113,4,16
9.94,10,no,no,1012,124,6,18
15,12,no,yes,452,123,5,15
13,16,no,no,492,98,3,18
12,12,no,no,577,107,6,14
9.94,10,yes,no,655,114,15,12
10,11,no,no,709,119,4,16
3,9,no,yes,511,82,6,14
4,1,no,no,625,89,16,12
11,10,no,no,460,111,5,14
9,7,no,no,625,104,13,14
9.94,10.25,no,yes,575,65,10,12
4,3,no,yes,520,74,11,12
4,3,no,yes,490,77,7,12
11,12,no,yes,425,98,7,18
9.94,10.25,no,yes,535,75,14,12
12,12,no,no,745,97,7,13
16,16,no,no,320,96,10,12
16,14,no,no,606,99,6,17
2,6,no,yes,325,68,9,12
12,12,no,no,821,83,10,13
9.94,12,yes,no,810,97,14,12
12,12,no,no,374,98,8,12
12,12,no,no,300,95,14,12
9.94,13,no,no,641,103,8,18
6,6,no,no,585,105,13,12
9.94,5,no,yes,325,86,12,12
9.94,10.25,yes,yes,655,102,7,13
12,9,no,yes,617,95,6,13
3,7,no,yes,550,100,4,16
3,8,no,yes,625,81,14,10
10,6,no,yes,500,85,15,10
9.94,10.25,no,yes,404,86,13,10
12,12,no,yes,275,79,16,10
9.94,4,yes,no,600,101,4,18
6,8,no,no,577,100,8,13
6,8,no,no,375,84,9,12
6,8,no,no,304,74,8,12
9.94,10.25,no,yes,275,86,8,14
9.94,10.25,no,yes,641,92,7,16
5,11,no,no,635,107,7,14
9.94,6,no,no,673,93,14,12
9.94,6,no,yes,375,69,19,9
18,17,no,no,770,113,7,17
9.94,16,yes,no,558,114,3,17
9.94,12,no,no,1763,126,4,18
7,8,no,no,695,92,16,12
12,9,no,no,509,127,6,12
9.94,6,no,no,818,109,15,12
8,10,no,no,600,97,12,12
10,0,no,no,507,66,9,11
9,9,no,no,606,78,8,12
14,16,no,no,1068,109,9,16
12,8,no,no,1635,93,12,14
14,4,no,no,860,109,8,16
9.94,10.25,no,no,756,105,6,14
16,16,no,no,750,105,4,15
9.94,10.25,no,no,438,104,14,12
16,10,no,no,1106,66,15,12
6,11,no,yes,332,103,8,12
8,8,no,no,625,85,11,13
4,8,no,no,462,81,9,12
8,12,no,no,520,105,6,18
6,8,no,no,150,116,8,14
9.94,4,no,no,385,121,5,18
9.94,12,yes,no,577,109,13,15
13,14,no,no,538,121,10,18
12,12,no,no,894,78,10,13
12,12,no,no,625,54,7,14
12,12,no,no,323,60,8,14
8,8,no,no,577,98,14,12
8,12,no,no,241,94,15,10
8,9,no,no,1979,94,10,16
9.94,12,no,no,695,98,14,12
12,16,no,no,491,105,4,16
9.94,12,no,no,298,87,8,13
9.94,12,no,no,308,71,6,13
12,12,no,no,1097,117,5,13
17,12,no,no,413,94,7,11
8,11,no,no,500,88,7,12
12,12,no,no,589,85,4,15
12,12,no,no,625,102,9,13
12,13,no,no,778,116,5,16
9.94,8,yes,no,400,82,7,13
9.94,12,no,no,1275,114,4,18
12,11,no,yes,673,65,10,12
12,11,no,yes,280,84,11,10
12,12,no,no,2003,105,6,18
12,10.25,no,no,769,101,4,16
12,12,no,no,550,96,8,12
7,7,no,no,610,92,8,14
12,12,no,no,577,107,6,13
8,12,no,no,824,106,7,16
9.94,10.25,no,yes,308,73,10,11
16,16,no,no,865,119,8,17
12,8,no,yes,673,82,12,14
9,12,no,no,693,101,7,14
12,12,no,no,851,97,16,12
10,10,no,no,738,110,11,12
16,16,no,no,795,126,8,16
12,12,no,no,869,96,16,12
12,13,no,no,577,117,5,16
14,12,no,no,1385,111,10,17
8,8,no,yes,675,67,12,12
12,12,no,no,657,102,15,12
13,12,no,no,1200,95,6,15
2,0,no,no,2115,64,16,12
8,12,no,no,595,118,12,10
12,12,no,no,833,104,11,15
9.94,10.25,no,no,400,107,7,15
9.94,7,yes,yes,721,118,11,14
12,12,no,yes,167,71,13,12
13,13,no,no,643,118,3,18
10,12,no,no,600,75,15,13
13,10,no,no,400,149,6,12
12,12,no,no,1000,108,5,13
8,12,no,no,666,108,8,14
10,12,no,no,785,112,8,14
8,8,no,no,300,93,9,10
14,12,no,no,697,119,8,16
12,12,no,no,438,94,13,14
9,11,no,no,685,68,6,13
7,6,no,no,414,103,6,14
11,14,no,no,751,104,7,12
16,16,no,no,231,119,7,13
17,14,no,no,505,90,7,16
15,12,no,no,600,129,8,16
9.94,18,no,no,1058,125,8,18
3,8,no,no,1050,112,11,16
12,16,no,no,983,128,8,18
16,13,no,no,1282,84,10,18
12,12,no,no,818,84,8,12
12,8,no,no,720,97,14,12
7,12,no,no,538,102,11,12
8,9,no,no,300,91,8,11
12,12,no,no,996,131,5,18
12,12,no,no,582,107,5,17
12,12,no,no,231,126,4,16
12,12,no,no,539,107,3,16
8,8,yes,yes,628,92,13,15
12,12,no,no,231,92,5,16
12,12,no,no,716,119,5,18
12,12,no,no,500,76,5,15
10,10,no,no,200,107,8,11
12,9,no,no,1106,111,11,16
8,12,no,no,404,115,8,16
10,12,no,no,277,123,5,16
12,11,no,no,962,107,2,17
8,12,no,no,563,105,10,12
12,12,no,no,673,111,11,14
9.94,11,yes,no,856,107,10,16
8,4,no,no,575,116,7,15
2,8,no,no,626,108,5,13
12,12,no,no,1443,115,14,12
6,11,no,no,336,101,8,14
6,11,no,no,577,98,9,12
16,0,no,no,250,87,7,15
9.94,10.25,no,no,1038,95,13,15
13,12,no,no,1090,114,9,18
12,12,no,no,462,116,2,18
9.94,12,yes,no,625,90,14,12
5,8,no,no,817,115,3,16
17,4,no,no,361,113,8,14
9.94,10.25,no,no,861,86,12,12
2,2,no,no,282,90,10,10
17,14,no,no,699,125,6,12
11,10,no,no,615,107,6,12
8,12,no,no,433,88,8,11
12,12,no,no,534,117,3,16
12,12,no,no,625,92,4,16
10,12,no,no,577,122,2,18
10,12,no,no,843,98,6,12
12,12,no,no,404,123,4,16
18,12,no,no,1014,116,7,18
8,4,no,no,325,114,7,16
12,8,no,no,771,91,9,15
12,13,no,no,700,125,4,14
0,5,no,no,625,101,4,16
12,7,no,no,911,101,6,16
16,16,no,no,745,116,15,12
12,12,no,no,674,103,6,12
12,12,no,no,817,113,6,16
9.94,10,yes,no,770,111,4,15
8,9,no,no,727,116,6,15
9.94,12,no,no,688,94,7,14
13,14,no,no,500,123,6,16
9.94,12,no,no,726,109,6,16
12,12,no,no,962,124,11,16
12,10,no,no,1154,114,13,13
14,8,no,no,675,121,10,13
9.94,10,yes,no,422,103,8,12
12,12,no,no,1063,96,7,12
15,14,no,no,1175,117,9,18
8,12,no,no,1200,100,11,12
12,10.25,no,no,550,104,8,14
12,12,no,no,801,91,10,15
9.94,11,no,no,543,97,13,12
9.94,12,no,no,750,94,12,14
12,10,no,no,450,103,14,14
7,12,no,no,855,101,15,12
14,8,no,no,728,94,6,14
12,11,no,no,693,112,16,12
12,12,no,no,1025,73,11,10
3,0,no,no,727,105,13,15
10,11,no,no,535,106,14,14
11,11,no,no,532,101,7,12
13,16,no,no,404,83,5,13
12,12,no,no,1100,114,6,18
2,2,no,no,660,104,9,12
12,12,no,no,433,99,14,12
18,13,no,no,263,101,5,15
15,18,no,no,577,109,12,16
13,13,no,no,433,110,6,12
18,12,no,no,470,104,2,17
12,12,no,no,1049,90,12,12
9.94,4,no,no,1846,98,11,17
16,12,no,no,769,112,12,15
9.94,10.25,no,yes,688,64,17,11
13,18,no,no,479,128,4,16
16,13,no,no,341,113,2,16
10,12,no,no,906,102,12,14
7,8,no,no,351,93,15,12
8,9,no,no,775,92,11,12
8,9,no,no,700,124,8,12
12,12,no,no,592,119,4,16
10,8,no,no,533,96,9,12
18,13,no,no,417,110,3,16
12,12,no,no,1394,118,10,18
8,10,no,no,548,96,16,12
11,12,no,no,657,80,7,11
9.94,12,no,no,624,137,10,13
15,12,no,no,442,113,9,16
12,12,no,no,577,93,6,15
12,12,no,no,540,93,8,13
9,12,no,no,841,116,9,15
8,12,no,no,577,69,13,12
2,6,no,no,511,78,11,12
8,8,no,no,577,99,16,12
12,16,no,no,631,92,9,12
12,16,no,no,666,113,3,16
12,12,no,no,400,119,7,14
9.94,12,yes,no,423,98,10,13
14,16,no,no,647,99,5,16
11,14,no,no,840,112,3,16
18,12,no,no,625,115,4,15
8,10.25,no,no,1000,96,15,9
8,6,no,no,919,117,9,16
2,8,no,no,730,96,13,12
11,10,no,no,411,108,7,12
12,16,no,no,500,92,4,17
16,16,no,no,733,95,12,15
12,12,no,no,721,106,6,16
8,8,no,no,699,95,11,15
9,15,no,no,785,94,10,14
12,13,no,no,925,105,7,16
12,13,no,no,449,115,6,14
14,14,no,no,325,117,3,15
18,14,no,no,470,93,4,18
8,7,no,no,541,115,16,12
9.94,10.25,no,no,547,117,3,18
12,14,no,no,577,98,10,16
9.94,12,yes,no,1068,105,10,16
6,7,no,no,721,109,14,12
14,12,no,no,739,120,4,17
8,10.25,no,no,1478,96,8,12
13,12,no,no,801,91,12,13
8,12,no,no,550,109,7,13
12,12,no,no,540,87,9,12
13,13,no,no,790,110,10,16
12,10,no,no,693,97,8,14
12,10,no,no,250,110,4,16
3,4,no,no,635,74,17,9
9.94,9,no,no,413,95,14,12
9.94,10.25,no,no,300,97,7,12
9.94,10.25,no,no,356,98,10,13
12,12,no,no,413,85,13,12
12,10,no,no,531,105,13,14
12,10,no,no,635,122,7,16
17,13,no,no,550,129,11,14
7,8,no,no,486,100,14,12
9,14,no,no,598,108,8,17
8,12,no,no,800,122,5,16
8,8,no,no,433,129,3,17
8,8,no,no,751,79,5,17
10,12,no,no,294,109,6,14
12,12,no,no,427,105,7,12
9.94,10.25,no,no,700,90,15,12
12,12,no,no,480,83,7,12
9.94,10.25,no,no,508,111,8,16
12,8,no,no,723,110,15,12
14,14,no,no,220,92,7,12
10,10,no,no,1202,113,7,13
12,12,no,no,400,115,5,13
12,12,no,no,601,109,7,16
12,8,no,no,481,114,11,12
7,12,no,no,700,110,11,16
10,9,no,no,769,102,9,12
10,9,no,no,529,118,5,14
6,10.25,no,no,563,86,18,10
7,0,no,no,649,114,13,13
9.94,10.25,yes,no,1082,105,15,12
6,10,no,no,673,83,12,16
15,12,no,no,350,107,0,18
5,9,no,yes,769,81,8,14
0,6,no,yes,650,85,8,12
9.94,4,no,no,751,72,15,9
7,6,no,no,401,86,10,12
8,12,no,no,450,68,13,12
9.94,6,no,yes,260,95,16,12
12,12,no,no,385,87,3,16
13,12,no,no,817,116,11,17
13,12,no,no,962,95,8,16
14,12,no,no,408,94,9,13
6,10,no,no,620,96,8,14
7,12,no,no,230,99,7,12
6,12,no,no,1155,106,8,18
8,2,no,yes,500,85,10,12
4,12,no,no,750,100,7,12
8,12,no,no,1038,101,9,13
16,15,no,no,491,104,3,16
10,12,no,no,525,88,10,13
9,16,no,yes,737,97,6,15
6,10,no,yes,599,83,6,14
18,18,no,yes,1131,71,9,18
9.94,10.25,no,yes,601,100,5,14
9.94,10.25,no,yes,235,96,9,12
12,12,no,no,400,117,4,16
6,5,no,no,290,65,7,12
12,9,no,no,656,116,6,12
9,12,no,no,711,106,14,12
8,12,no,no,481,93,9,14
8,12,no,no,641,112,3,16
12,14,no,no,596,98,14,12
11,14,no,no,1538,103,10,16
9,12,no,no,860,103,15,12
12,12,no,no,308,91,9,12
12,10.25,no,no,600,118,9,14
10,10,no,no,540,87,10,13
12,10,no,no,344,100,8,13
12,10,no,no,500,96,7,12
4,10,no,yes,378,62,3,18
8,8,no,yes,1000,83,10,12
9.94,10.25,no,yes,564,100,6,12
12,10,no,no,538,123,6,12
9,8,no,yes,355,67,7,13
14,13,no,no,1026,104,8,13
12,14,no,no,295,106,9,17
9.94,8,yes,yes,538,81,9,12
8,12,no,no,711,109,9,12
4,4,no,yes,229,76,11,12
4,3,no,yes,220,73,9,12
8,2,no,yes,310,62,11,12
10,10.25,no,yes,320,76,6,12
10,9,no,yes,303,76,9,12
4,11,no,no,438,103,8,12
9.94,12,yes,no,846,106,10,16
12,14,no,no,313,112,6,14
10,9,no,no,429,94,13,12
6,10,no,no,700,81,14,11
6,5,no,no,381,87,16,10
12,12,no,no,465,118,10,12
9.94,10.25,no,no,417,74,11,13
5,10.25,no,no,531,96,6,13
9.94,8,yes,no,440,73,9,12
9.94,6,yes,no,457,75,8,12
5,5,no,no,438,95,9,12
9.94,5,yes,yes,550,102,9,12
12,16,no,no,650,107,3,16
7,3,no,no,423,86,9,11
18,8,no,no,420,104,8,13
5,7,no,no,714,95,12,12
12,8,no,no,398,116,7,12
6,8,no,no,398,66,14,9
5,0,no,no,734,101,6,16
12,12,no,no,688,96,7,12
9.94,9,no,no,455,104,13,12
9.94,16,yes,no,577,138,6,16
10,14,no,no,699,105,9,16
14,12,no,no,375,106,5,16
11,4,no,yes,220,67,11,12
12,10,no,yes,341,97,4,16
8,9,no,no,288,108,10,15
8,13,no,no,866,125,6,18
7,8,no,no,433,106,7,12
4,6,no,no,400,99,11,12
12,12,no,no,547,96,14,12
10,12,no,no,500,114,5,14
9,12,no,no,600,105,11,12
2,3,no,no,650,106,16,12
8,8,no,no,848,102,14,12
9.94,10.25,no,yes,289,75,15,12
5,5,no,yes,457,99,4,14
11,12,no,no,413,90,15,13
9.94,16,yes,yes,649,101,3,16
9.94,10.25,no,no,633,115,7,13
10,12,no,no,721,118,6,16
12,9,no,no,913,108,14,12
12,12,no,no,592,127,3,18
9.94,12,no,no,764,114,10,16
11,10,no,yes,275,76,8,11
12,16,no,no,962,132,6,16
9.94,3,yes,yes,625,50,10,12
9.94,10.25,yes,yes,333,84,8,12
9.94,10,no,yes,625,55,11,12
9.94,10.25,no,yes,359,73,16,12
9.94,10.25,no,yes,403,61,6,12
9,9,no,yes,463,84,9,11
9.94,10.25,no,yes,400,71,7,14
9.94,10.25,no,yes,415,84,2,16
9.94,10.25,no,no,1442,101,9,18
10,12,no,yes,266,69,6,13
9.94,10.25,no,yes,325,80,9,11
9.94,9,no,no,214,69,13,10
9,12,no,no,688,104,10,12
6,10,no,no,457,92,16,10
13,10.25,no,yes,732,102,3,16
6,10,no,yes,481,83,10,12
6,10,no,yes,642,98,8,12
7,10,no,yes,573,70,9,10
9.94,10.25,no,yes,339,90,7,12
10,4,no,no,400,87,7,13
9.94,12,no,no,300,96,3,15
10,12,no,no,580,80,18,10
8,12,no,no,321,102,4,14
2,10.25,no,yes,475,79,8,12
10,12,no,no,553,104,7,16
8,9,no,no,721,104,7,18
8,12,no,no,729,101,6,13
5,8,no,no,314,115,7,12
7,10,no,yes,769,96,3,16
12,11,no,no,626,99,8,12
18,12,no,no,803,112,7,16
18,12,no,no,447,118,3,16
12,9,no,no,319,83,7,15
12,12,no,no,616,107,8,16
13,12,no,no,354,91,10,12
18,12,no,no,425,96,4,18
18,12,no,no,265,89,8,12
13,13,no,no,426,118,4,14
13,10,no,no,250,113,7,12
12,12,no,no,560,116,2,17
7,7,no,no,289,105,11,12
7,7,no,no,393,120,4,16
6,7,no,no,577,107,8,12
12,11,no,no,346,94,9,17
12,12,no,no,1282,98,6,16
12,16,no,no,413,96,4,14
4,7,no,no,404,84,7,14
3,7,no,no,721,108,13,12
3,8,no,no,577,104,12,12
6,8,no,no,500,110,8,12
7,6,no,no,250,96,11,12
7,7,no,no,155,106,8,12
9.94,3,yes,yes,350,83,15,12
9.94,10.25,no,yes,462,66,8,12
7,12,no,no,500,70,18,10
12,11,no,no,846,104,8,16
9,12,no,no,577,87,11,12
10,12,no,no,400,110,6,16
8,12,no,no,741,87,17,11
12,12,no,no,350,100,5,14
12,14,no,no,438,91,8,12
12,12,no,no,751,109,8,16
18,14,no,no,577,112,6,18
12,12,no,no,404,106,8,16
12,12,no,no,616,94,12,12
13,6,no,no,385,95,9,12
12,12,no,no,672,89,9,15
7,10,no,no,625,85,10,12
9,12,no,no,500,97,10,10
5,7,no,no,331,83,9,12
10,10,no,no,585,99,10,12
9.94,9,no,yes,300,68,11,11
8,12,no,no,738,107,10,16
9.94,10.25,no,yes,385,74,12,12
3,10.25,no,yes,450,51,10,11
9.94,10.25,no,no,801,100,9,12
6,8,no,yes,375,75,12,9
9.94,6,no,no,361,86,11,10
8,7,no,no,300,96,12,9
9,12,no,no,558,90,10,12
3,5,no,no,486,86,16,12
9.94,10.25,no,no,600,102,8,12
9.94,12,yes,no,534,101,8,12
12,12,no,no,577,116,5,17
9.94,10,yes,yes,250,99,7,14
12,11,no,no,400,107,8,12
12,14,no,no,300,116,10,13
9,11,no,no,416,109,4,15
8,12,no,no,740,76,7,16
5,12,no,yes,273,72,8,15
9.94,10.25,no,yes,632,105,8,14
8,12,no,yes,289,65,3,16
9.94,10.25,no,yes,333,98,9,12
9.94,12,yes,no,306,93,8,12
7,7,no,no,573,108,9,18
9.94,10.25,no,yes,463,74,10,12
7,12,no,no,389,107,16,12
14,12,no,no,1106,110,10,16
9,10,no,no,245,114,2,16
6,6,no,yes,400,72,12,12
12,9,no,no,300,117,9,10
7,9,no,no,409,114,7,12
9.94,10.25,no,no,337,107,2,16
12,10,no,no,523,120,5,13
12,12,no,no,513,97,4,16
8,14,no,no,691,130,11,14
12,12,no,no,425,107,5,16
5,12,no,no,542,100,6,12
9.94,11,yes,no,505,103,7,12
14,13,no,no,419,111,3,16
12,12,no,no,375,114,4,16
8,8,no,no,438,95,9,11
13,12,no,no,635,96,11,16
10,11,no,no,500,105,8,12
10,11,no,no,875,98,14,12
9.94,8,yes,yes,200,62,14,11
9.94,8,no,yes,245,67,12,12
7,10.25,no,yes,808,83,14,12
13,12,no,no,962,97,5,17
13,12,no,no,743,112,4,16
9.94,9,yes,no,450,102,6,12
3,0,no,yes,794,70,15,11
8,8,no,no,462,92,12,14
16,5,no,no,225,90,13,10
9.94,10,no,no,577,83,9,13
2,8,no,yes,200,75,9,10
11,16,no,no,539,95,7,16
12,12,no,no,354,104,6,16
12,15,no,no,250,85,11,11
9,12,no,no,693,114,6,16
8,12,no,no,420,82,10,12
16,16,no,no,366,65,15,12
8,8,no,no,913,113,9,16
9.94,9,yes,yes,340,100,11,11
5,5,no,yes,463,68,14,9
9.94,2,no,yes,200,76,12,12
8,8,no,yes,315,101,3,15
5,8,no,yes,625,78,8,16
9.94,10.25,no,yes,254,72,12,12
9.94,10.25,no,no,450,75,12,9
9.94,12,no,no,450,101,11,12
7,7,no,no,263,100,9,12
5,12,no,no,432,105,7,14
16,16,no,yes,513,82,8,16
9.94,11,yes,yes,385,79,4,16
6,8,no,no,500,102,8,13
9.94,7,yes,yes,470,77,6,12
11,10.25,no,no,500,109,6,12
9.94,10.25,no,no,713,107,13,12
